,date,seq,b,d,f,h,u
1,1953-04,U,0,0,0,0,1
2,1953-05,U,0,0,0,0,1
3,1953-06,U,0,0,0,0,1
4,1953-07,U,0,0,0,0,1
5,1953-08,U,0,0,0,0,1
6,1953-09,U,0,0,0,0,1
7,1953-10,U,0,0,0,0,1
8,1953-11,U,0,0,0,0,1
9,1953-12,U,0,0,0,0,1
10,1954-01,U,0,0,0,0,1
11,1954-02,U,0,0,0,0,1
12,1954-03,U,0,0,0,0,1
13,1954-04,U,0,0,0,0,1
14,1954-05,U,0,0,0,0,1
15,1954-06,U,0,0,0,0,1
16,1954-07,U,0,0,0,0,1
17,1954-08,U,0,0,0,0,1
18,1954-09,U,0,0,0,0,1
19,1954-10,U,0,0,0,0,1
20,1954-11,U,0,0,0,0,1
21,1954-12,U,0,0,0,0,1
22,1955-01,U,0,0,0,0,1
23,1955-02,U,0,0,0,0,1
24,1955-03,U,0,0,0,0,1
25,1955-04,U,0,0,0,0,1
26,1955-05,U,0,0,0,0,1
27,1955-06,U,0,0,0,0,1
28,1955-07,U,0,0,0,0,1
29,1955-08,U,0,0,0,0,1
30,1955-09,U,0,0,0,0,1
31,1955-10,U,0,0,0,0,1
32,1955-11,U,0,0,0,0,1
33,1955-12,U,0,0,0,0,1
34,1956-01,U,0,0,0,0,1
35,1956-02,U,0,0,0,0,1
36,1956-03,U,0,0,0,0,1
37,1956-04,H,0,0,0,1,0
38,1956-05,H,0,0,0,1,0
39,1956-06,U,0,0,0,0,1
40,1956-07,H,0,0,0,1,0
41,1956-08,H,0,0,0,1,0
42,1956-09,H,0,0,0,1,0
43,1956-10,H,0,0,0,1,0
44,1956-11,H,0,0,0,1,0
45,1956-12,H,0,0,0,1,0
46,1957-01,F,0,0,1,0,0
47,1957-02,F,0,0,1,0,0
48,1957-03,H,0,0,0,1,0
49,1957-04,H,0,0,0,1,0
50,1957-05,H,0,0,0,1,0
51,1957-06,H,0,0,0,1,0
52,1957-07,H,0,0,0,1,0
53,1957-08,D,0,1,0,0,0
54,1957-09,D,0,1,0,0,0
55,1957-10,H,0,0,0,1,0
56,1957-11,H,0,0,0,1,0
57,1957-12,B,1,0,0,0,0
58,1958-01,U,0,0,0,0,1
59,1958-02,U,0,0,0,0,1
60,1958-03,U,0,0,0,0,1
61,1958-04,U,0,0,0,0,1
62,1958-05,U,0,0,0,0,1
63,1958-06,U,0,0,0,0,1
64,1958-07,U,0,0,0,0,1
65,1958-08,U,0,0,0,0,1
66,1958-09,U,0,0,0,0,1
67,1958-10,U,0,0,0,0,1
68,1958-11,U,0,0,0,0,1
69,1958-12,U,0,0,0,0,1
70,1959-01,H,0,0,0,1,0
71,1959-02,U,0,0,0,0,1
72,1959-03,U,0,0,0,0,1
73,1959-04,H,0,0,0,1,0
74,1959-05,H,0,0,0,1,0
75,1959-06,H,0,0,0,1,0
76,1959-07,H,0,0,0,1,0
77,1959-08,H,0,0,0,1,0
78,1959-09,D,0,1,0,0,0
79,1959-10,D,0,1,0,0,0
80,1959-11,D,0,1,0,0,0
81,1959-12,D,0,1,0,0,0
82,1960-01,D,0,1,0,0,0
83,1960-02,D,0,1,0,0,0
84,1960-03,H,0,0,0,1,0
85,1960-04,H,0,0,0,1,0
