"","date","t1m","t3m","t6m","t1y","t2y","t3y","t5y","t7y","t10y","t20y","t30y","ts","tm","tl","tm.ts","tl.tm","tl.ts","tm..ts.tl..2"
"1","1/2/62",NA,NA,NA,3.22,NA,3.7,3.88,NA,4.06,4.07,NA,3.22,3.88,4.07,0.66,0.19,0.85,0.235
"2","1/3/62",NA,NA,NA,3.24,NA,3.7,3.87,NA,4.03,4.07,NA,3.24,3.866666667,4.07,0.626666667,0.203333333,0.83,0.211666667
"3","1/4/62",NA,NA,NA,3.24,NA,3.69,3.86,NA,3.99,4.06,NA,3.24,3.846666667,4.06,0.606666667,0.213333333,0.819999999999999,0.196666667
"4","1/5/62",NA,NA,NA,3.26,NA,3.71,3.89,NA,4.02,4.07,NA,3.26,3.873333333,4.07,0.613333333,0.196666667,0.810000000000001,0.208333333
"5","1/8/62",NA,NA,NA,3.31,NA,3.71,3.91,NA,4.03,4.08,NA,3.31,3.883333333,4.08,0.573333333,0.196666667,0.77,0.188333333
"6","1/9/62",NA,NA,NA,3.32,NA,3.74,3.93,NA,4.05,4.08,NA,3.32,3.906666667,4.08,0.586666667,0.173333333,0.76,0.206666667
"7","1/10/62",NA,NA,NA,3.33,NA,3.75,3.94,NA,4.07,4.09,NA,3.33,3.92,4.09,0.59,0.17,0.76,0.21
"8","1/11/62",NA,NA,NA,3.33,NA,3.77,3.94,NA,4.08,4.08,NA,3.33,3.93,4.08,0.6,0.15,0.75,0.225
"9","1/12/62",NA,NA,NA,3.3,NA,3.76,3.95,NA,4.08,4.09,NA,3.3,3.93,4.09,0.63,0.16,0.79,0.235
"10","1/15/62",NA,NA,NA,3.32,NA,3.79,3.96,NA,4.1,4.1,NA,3.32,3.95,4.1,0.63,0.15,0.78,0.24
"11","1/16/62",NA,NA,NA,3.3,NA,3.81,3.98,NA,4.13,4.11,NA,3.3,3.973333333,4.11,0.673333333,0.136666667,0.810000000000001,0.268333333
"12","1/17/62",NA,NA,NA,3.3,NA,3.81,3.97,NA,4.12,4.1,NA,3.3,3.966666667,4.1,0.666666667,0.133333333,0.8,0.266666667
