date,ms,rec,cpi1,cpi2,ppi1,ppi2,gr,ur,ip,cu
1953-04,U,3,0.87,NA,-1.64,0.77,6.8,2.7,11.99,NA
1953-05,U,3,0.87,NA,-1.31,1.15,6.8,2.5,13.47,NA
1953-06,U,3,0.9,NA,-0.98,1.53,6.8,2.5,14,NA
1953-07,U,1,0.41,NA,-0.98,1.9,5.4,2.6,16.83,NA
1953-08,U,1,0.6,NA,-0.98,2.28,5.4,2.7,10.05,NA
1953-09,U,1,0.97,NA,-0.66,2.67,5.4,2.9,4.42,NA
1953-10,U,1,0.97,NA,-0.33,2.67,0.5,3.1,2.56,NA
1953-11,U,1,0.6,NA,-0.33,2.68,0.5,3.5,-1.86,NA
1953-12,U,1,0.6,NA,0.66,2.29,0.5,4.5,-4.9,NA
1954-01,U,1,1.12,NA,0.66,2.29,-1.8,4.9,-5.92,NA
1954-02,U,1,1.49,NA,0.66,2.29,-1.8,5.2,-6.18,NA
1954-03,U,1,1.12,NA,0.33,1.9,-1.8,5.7,-7.61,NA
1954-04,U,1,0.63,NA,1.32,1.9,-2.4,5.9,-8.63,NA
1954-05,U,1,0.86,NA,0.99,1.51,-2.4,5.9,-8.58,NA
1954-06,U,2,0.63,NA,0,1.13,-2.4,5.6,-7.87,NA
1954-07,U,2,0.26,NA,0,0.75,-0.8,5.8,-8.95,NA
1954-08,U,2,0,NA,0,0.38,-0.8,6,-8.55,NA
1954-09,U,2,-0.3,NA,-0.33,0,-0.8,6.1,-6.33,NA
1954-10,U,2,-0.86,NA,-0.66,0.38,2.7,5.7,-4.31,NA
1954-11,U,2,-0.26,NA,0,0.75,2.7,5.3,-0.29,NA
1954-12,U,2,-0.37,NA,-0.33,1.13,2.7,5,3.48,NA
1955-01,U,2,-0.63,NA,-0.33,1.13,6.2,4.9,6.48,NA
1955-02,U,2,-0.63,NA,0.33,1.13,6.2,4.7,7.43,NA
1955-03,U,2,-0.52,NA,-0.33,1.12,6.2,4.6,10.34,NA
1955-04,U,2,-0.26,NA,-0.66,1.49,7.8,4.7,12.14,NA
1955-05,U,2,-0.6,NA,-0.66,1.86,7.8,4.3,13.13,NA
1955-06,U,0,-0.86,NA,0.33,2.22,7.8,4.2,12.96,NA
1955-07,U,0,-0.37,NA,-0.33,2.22,8,4,13.59,NA
1955-08,U,0,-0.49,NA,0,3.32,8,4.2,13.61,NA
1955-09,U,0,0.15,NA,0.66,4.41,8,4.1,14.11,NA
1955-10,U,0,0.37,NA,1.32,5.11,6.6,4.3,14.59,NA
1955-11,U,0,0.37,NA,0.99,5.47,6.6,4.2,13.24,NA
1955-12,U,0,0.37,NA,1.31,5.45,6.6,4.2,12.33,NA
1956-01,U,0,0.22,NA,0.98,5.8,3.2,4,10.7,NA
1956-02,U,3,0.15,NA,0.98,6.5,3.2,3.9,8.57,NA
1956-03,U,3,0.37,NA,1.96,6.82,3.2,4.2,6.26,NA
1956-04,H,3,0.52,NA,1.95,7.15,2.4,4,5.81,NA
1956-05,H,3,0.97,NA,2.6,7.44,2.4,4.3,3.35,NA
1956-06,U,3,1.63,NA,2.91,7.41,2.4,4.3,2.33,NA
1956-07,H,3,1.96,NA,2.92,7.41,1,4.4,-1.57,NA
1956-08,H,3,2.18,NA,3.24,7.33,1,4.1,2.56,NA
1956-09,H,3,1.85,NA,3.54,7.95,1,3.9,4.17,NA
1956-10,H,3,2.54,NA,3.85,7.54,2,3.9,3.37,NA
1956-11,H,3,2.32,NA,4.16,8.17,2,4.3,2.25,NA
1956-12,H,3,2.79,NA,3.83,7.81,2,4.2,3.35,NA
1957-01,F,3,3.08,NA,4.46,7.79,3.1,4.2,2.35,NA
1957-02,F,3,3.44,NA,4.45,7.73,3.1,3.9,4.21,NA
1957-03,H,3,3.54,NA,3.81,7.36,3.1,3.7,4.09,NA
1957-04,H,3,3.65,NA,4.11,6.67,2,3.9,1.99,NA
1957-05,H,3,3.53,NA,3.46,6.28,2,4.1,2.5,NA
1957-06,H,3,3.47,NA,3.44,5.94,2,4.3,3.64,NA
1957-07,H,3,3.24,NA,4.07,6.58,3.1,4.2,7.36,NA
1957-08,D,1,3.49,NA,3.75,5.88,3.1,4.1,3.36,NA
1957-09,D,1,3.49,NA,3.12,4.86,3.1,4.4,0.25,NA
1957-10,H,1,2.9,NA,2.79,4.52,0.4,4.5,-2.11,NA
1957-11,H,1,3.22,NA,3.09,4.16,0.4,5.1,-3.65,NA
1957-12,B,1,2.99,NA,3.39,4.47,0.4,5.2,-7.07,NA
1958-01,U,1,3.45,2.77,3.37,4.15,-2.9,5.8,-8.56,NA
1958-02,U,1,3.19,2.76,3.06,3.81,-2.9,6.4,-11.69,NA
1958-03,U,1,3.56,2.75,3.97,3.17,-2.9,6.7,-12.8,NA
1958-04,U,1,3.55,2.4,2.75,3.49,-2,7.4,-13.13,NA
1958-05,U,2,3.3,2.4,2.75,2.84,-2,7.4,-11.78,NA
1958-06,U,2,2.81,2.39,2.43,2.84,-2,7.3,-9.42,NA
1958-07,U,2,2.45,2.05,1.82,2.2,-0.7,7.5,-8.56,NA
1958-08,U,2,2.31,2.05,1.82,1.57,-0.7,7.4,-6.58,NA
1958-09,U,2,2.06,2.04,1.82,1.57,-0.7,7.1,-4.81,NA
1958-10,U,3,2.06,1.7,1.52,1.25,2.7,6.7,-2.15,NA
1958-11,U,3,1.88,1.69,0.91,1.25,2.7,6.2,3.16,NA
1958-12,U,3,1.74,2.03,0.3,1.24,2.7,6.2,5.23,NA
1959-01,H,3,1.28,2.03,-0.3,1.24,7.4,6,8.56,NA
1959-02,U,3,1.04,1.69,0,1.24,7.4,5.9,12.65,NA
1959-03,U,3,0.35,1.68,-0.6,1.86,7.4,5.6,15.32,NA
1959-04,H,3,0.14,1.68,0,1.85,9.2,5.2,19.09,NA
1959-05,H,3,0.34,2.01,0.3,1.85,9.2,5.1,19.61,NA
1959-06,H,3,0.69,2.01,-0.3,2.46,9.2,5,17.12,NA
1959-07,H,3,0.9,2.01,-0.3,2.16,6.6,5.1,13.22,NA
1959-08,H,3,0.83,2.01,-0.6,2.47,6.6,5.2,7.79,NA
1959-09,D,3,1.17,2,0.6,2.46,6.6,5.5,6.76,NA
1959-10,D,3,1.51,2.33,-0.3,2.16,4.5,5.7,4.87,NA
1959-11,D,3,1.37,1.99,-0.6,1.23,4.5,5.8,2.58,NA
1959-12,D,3,1.51,1.99,-0.3,0.92,4.5,5.3,8.45,NA
1960-01,D,3,1.23,1.99,0,1.23,4.9,5.2,9.56,NA
1960-02,D,3,1.4,2.31,-0.3,1.22,4.9,4.8,6.73,NA
1960-03,H,3,1.51,1.98,0.6,0.92,4.9,5.4,4.4,NA
1960-04,H,1,1.91,1.98,0.6,0.31,2,5.2,1.5,NA
1960-05,H,1,1.81,1.65,0.3,0,2,5.1,-0.11,NA
1960-06,H,1,1.7,1.64,0.6,-0.3,2,5.4,-1.49,NA
1960-07,U,1,1.36,1.32,1.2,0,2.5,5.5,0.58,NA
