date,t1m,t3m,t6m,t1y,t2y,t3y,t5y,t7y,t10y,t20y,t30y,ms
1953-04,NA,NA,NA,2.36,NA,2.51,2.62,NA,2.83,3.08,NA,U
1953-05,NA,NA,NA,2.48,NA,2.72,2.87,NA,3.05,3.18,NA,U
1953-06,NA,NA,NA,2.45,NA,2.74,2.94,NA,3.11,3.21,NA,U
1953-07,NA,NA,NA,2.38,NA,2.62,2.75,NA,2.93,3.12,NA,U
1953-08,NA,NA,NA,2.28,NA,2.58,2.8,NA,2.95,3.1,NA,U
1953-09,NA,NA,NA,2.2,NA,2.56,2.71,NA,2.87,3.07,NA,U
1953-10,NA,NA,NA,1.79,NA,2.23,2.43,NA,2.66,2.95,NA,U
1953-11,NA,NA,NA,1.67,NA,2.2,2.42,NA,2.68,2.95,NA,U
1953-12,NA,NA,NA,1.66,NA,2.07,2.32,NA,2.59,2.89,NA,U
1954-01,NA,NA,NA,1.41,NA,1.89,2.17,NA,2.48,2.8,NA,U
1954-02,NA,NA,NA,1.14,NA,1.63,2.04,NA,2.47,2.72,NA,U
1954-03,NA,NA,NA,1.13,NA,1.59,1.93,NA,2.37,2.61,NA,U
1954-04,NA,NA,NA,0.96,NA,1.54,1.87,NA,2.29,2.6,NA,U
1954-05,NA,NA,NA,0.85,NA,1.56,1.92,NA,2.37,2.66,NA,U
1954-06,NA,NA,NA,0.82,NA,1.53,1.92,NA,2.38,2.64,NA,U
1954-07,NA,NA,NA,0.84,NA,1.47,1.85,NA,2.3,2.57,NA,U
1954-08,NA,NA,NA,0.88,NA,1.49,1.9,NA,2.36,2.58,NA,U
1954-09,NA,NA,NA,1.03,NA,1.6,1.96,NA,2.38,2.6,NA,U
1954-10,NA,NA,NA,1.17,NA,1.72,2.02,NA,2.43,2.61,NA,U
1954-11,NA,NA,NA,1.14,NA,1.75,2.09,NA,2.48,2.65,NA,U
1954-12,NA,NA,NA,1.21,NA,1.81,2.16,NA,2.51,2.67,NA,U
1955-01,NA,NA,NA,1.39,NA,1.99,2.32,NA,2.61,2.75,NA,U
1955-02,NA,NA,NA,1.57,NA,2.12,2.38,NA,2.65,2.83,NA,U
1955-03,NA,NA,NA,1.59,NA,2.26,2.48,NA,2.68,2.84,NA,U
1955-04,NA,NA,NA,1.75,NA,2.37,2.55,NA,2.75,2.85,NA,U
1955-05,NA,NA,NA,1.9,NA,2.37,2.56,NA,2.76,2.87,NA,U
1955-06,NA,NA,NA,1.91,NA,2.39,2.59,NA,2.78,2.86,NA,U
1955-07,NA,NA,NA,2.02,NA,2.51,2.72,NA,2.9,2.94,NA,U
1955-08,NA,NA,NA,2.37,NA,2.72,2.86,NA,2.97,3.01,NA,U
1955-09,NA,NA,NA,2.36,NA,2.69,2.85,NA,2.97,3,NA,U
1955-10,NA,NA,NA,2.39,NA,2.62,2.76,NA,2.88,2.93,NA,U
1955-11,NA,NA,NA,2.48,NA,2.73,2.81,NA,2.89,2.93,NA,U
1955-12,NA,NA,NA,2.73,NA,2.88,2.93,NA,2.96,2.98,NA,U
