date,ts,tm,tl,tm-ts,tl-tm,tl-ts,tm-(tl+ts)/2,
1953-04,2.3600,2.6533,3.0800,0.2933,0.4267,0.7200,-0.0667,
1953-05,2.4800,2.8800,3.1800,0.4000,0.3000,0.7000,0.0500,
1953-06,2.4500,2.9300,3.2100,0.4800,0.2800,0.7600,0.1000,
1953-07,2.3800,2.7667,3.1200,0.3867,0.3533,0.7400,0.0167,
1953-08,2.2800,2.7767,3.1000,0.4967,0.3233,0.8200,0.0867,
1953-09,2.2000,2.7133,3.0700,0.5133,0.3567,0.8700,0.0783,
1953-10,1.7900,2.4400,2.9500,0.6500,0.5100,1.1600,0.0700,
1953-11,1.6700,2.4333,2.9500,0.7633,0.5167,1.2800,0.1233,
1953-12,1.6600,2.3267,2.8900,0.6667,0.5633,1.2300,0.0517,
1954-01,1.4100,2.1800,2.8000,0.7700,0.6200,1.3900,0.0750,
1954-02,1.1400,2.0467,2.7200,0.9067,0.6733,1.5800,0.1167,
1954-03,1.1300,1.9633,2.6100,0.8333,0.6467,1.4800,0.0933,
1954-04,0.9600,1.9000,2.6000,0.9400,0.7000,1.6400,0.1200,
1954-05,0.8500,1.9500,2.6600,1.1000,0.7100,1.8100,0.1950,
1954-06,0.8200,1.9433,2.6400,1.1233,0.6967,1.8200,0.2133,
1954-07,0.8400,1.8733,2.5700,1.0333,0.6967,1.7300,0.1683,
1954-08,0.8800,1.9167,2.5800,1.0367,0.6633,1.7000,0.1867,
1954-09,1.0300,1.9800,2.6000,0.9500,0.6200,1.5700,0.1650,
1954-10,1.1700,2.0567,2.6100,0.8867,0.5533,1.4400,0.1667,
1954-11,1.1400,2.1067,2.6500,0.9667,0.5433,1.5100,0.2117,
1954-12,1.2100,2.1600,2.6700,0.9500,0.5100,1.4600,0.2200,
1955-01,1.3900,2.3067,2.7500,0.9167,0.4433,1.3600,0.2367,
1955-02,1.5700,2.3833,2.8300,0.8133,0.4467,1.2600,0.1833,
1955-03,1.5900,2.4733,2.8400,0.8833,0.3667,1.2500,0.2583,
1955-04,1.7500,2.5567,2.8500,0.8067,0.2933,1.1000,0.2567,
1955-05,1.9000,2.5633,2.8700,0.6633,0.3067,0.9700,0.1783,
1955-06,1.9100,2.5867,2.8600,0.6767,0.2733,0.9500,0.2017,
1955-07,2.0200,2.7100,2.9400,0.6900,0.2300,0.9200,0.2300,
1955-08,2.3700,2.8500,3.0100,0.4800,0.1600,0.6400,0.1600,
1955-09,2.3600,2.8367,3.0000,0.4767,0.1633,0.6400,0.1567,
1955-10,2.3900,2.7533,2.9300,0.3633,0.1767,0.5400,0.0933,
1955-11,2.4800,2.8100,2.9300,0.3300,0.1200,0.4500,0.1050,
1955-12,2.7300,2.9233,2.9800,0.1933,0.0567,0.2500,0.0683,
1956-01,2.5800,2.8400,2.9400,0.2600,0.1000,0.3600,0.0800,
1956-02,2.4900,2.7500,2.9100,0.2600,0.1600,0.4200,0.0500,
1956-03,2.6100,2.9267,2.9900,0.3167,0.0633,0.3800,0.1267,
1956-04,2.9200,3.1900,3.1400,0.2700,-0.0500,0.2200,0.1600,
1956-05,2.9400,3.0767,3.0600,0.1367,-0.0167,0.1200,0.0767,
1956-06,2.7400,2.9733,3.0000,0.2333,0.0267,0.2600,0.1033,
1956-07,2.7600,3.0967,3.0800,0.3367,-0.0167,0.3200,0.1767,
1956-08,3.1000,3.3767,3.2200,0.2767,-0.1567,0.1200,0.2167,
1956-09,3.3500,3.4500,3.2800,0.1000,-0.1700,-0.0700,0.1350,
1956-10,3.2800,3.3800,3.2600,0.1000,-0.1200,-0.0200,0.1100,
1956-11,3.4400,3.5400,3.3700,0.1000,-0.1700,-0.0700,0.1350,
1956-12,3.6800,3.6833,3.4500,0.0033,-0.2333,-0.2300,0.1183,
1957-01,3.3700,3.4633,3.4100,0.0933,-0.0533,0.0400,0.0733,
1957-02,3.3800,3.3833,3.3000,0.0033,-0.0833,-0.0800,0.0433,
1957-03,3.4200,3.4467,3.3200,0.0267,-0.1267,-0.1000,0.0767,
1957-04,3.4900,3.5133,3.4000,0.0233,-0.1133,-0.0900,0.0683,
1957-05,3.4800,3.6167,3.4900,0.1367,-0.1267,0.0100,0.1317,
1957-06,3.6500,3.8100,3.6500,0.1600,-0.1600,0.0000,0.1600,
1957-07,3.8100,3.9633,3.7200,0.1533,-0.2433,-0.0900,0.1983,
1957-08,4.0100,3.9833,3.7500,-0.0267,-0.2333,-0.2600,0.1033,
1957-09,4.0700,4.0033,3.7300,-0.0667,-0.2733,-0.3400,0.1033,
1957-10,4.0100,4.0467,3.7600,0.0367,-0.2867,-0.2500,0.1617,
1957-11,3.5700,3.7133,3.6100,0.1433,-0.1033,0.0400,0.1233,
1957-12,3.1800,3.1333,3.3800,-0.0467,0.2467,0.2000,-0.1467,
1958-01,2.6500,2.9167,3.2700,0.2667,0.3533,0.6200,-0.0433,
1958-02,1.9900,2.8033,3.3100,0.8133,0.5067,1.3200,0.1533,
1958-03,1.8400,2.6733,3.2900,0.8333,0.6167,1.4500,0.1083,
1958-04,1.4500,2.4967,3.1700,1.0467,0.6733,1.7200,0.1867,
1958-05,1.3700,2.4667,3.1700,1.0967,0.7033,1.8000,0.1967,
1958-06,1.2300,2.5033,3.2300,1.2733,0.7267,2.0000,0.2733,
1958-07,1.6100,2.7967,3.3900,1.1867,0.5933,1.7800,0.2967,
1958-08,2.5000,3.2967,3.6500,0.7967,0.3533,1.1500,0.2217,
1958-09,3.0500,3.6567,3.8000,0.6067,0.1433,0.7500,0.2317,
1958-10,3.1900,3.7500,3.8100,0.5600,0.0600,0.6200,0.2500,
1958-11,3.1000,3.6800,3.7600,0.5800,0.0800,0.6600,0.2500,
1958-12,3.2900,3.8000,3.8600,0.5100,0.0600,0.5700,0.2250,
1959-01,3.3600,3.9800,3.9500,0.6200,-0.0300,0.5900,0.3250,
1959-02,3.5400,3.9467,3.9600,0.4067,0.0133,0.4200,0.1967,
1959-03,3.6100,3.9833,3.9900,0.3733,0.0067,0.3800,0.1833,
1959-04,3.7200,4.0900,4.0600,0.3700,-0.0300,0.3400,0.2000,
1959-05,3.9600,4.3033,4.1300,0.3433,-0.1733,0.1700,0.2583,
1959-06,4.0700,4.4533,4.1400,0.3833,-0.3133,0.0700,0.3483,
1959-07,4.3900,4.5267,4.1600,0.1367,-0.3667,-0.2300,0.2517,
1959-08,4.4200,4.5333,4.1500,0.1133,-0.3833,-0.2700,0.2483,
1959-09,5.0000,4.8500,4.2900,-0.1500,-0.5600,-0.7100,0.2050,
1959-10,4.8000,4.6767,4.1900,-0.1233,-0.4867,-0.6100,0.1817,
1959-11,4.8100,4.7100,4.2000,-0.1000,-0.5100,-0.6100,0.2050,
1959-12,5.1400,4.9400,4.3300,-0.2000,-0.6100,-0.8100,0.2050,
1960-01,5.0300,4.8767,4.4200,-0.1533,-0.4567,-0.6100,0.1517,
1960-02,4.6600,4.6367,4.2800,-0.0233,-0.3567,-0.3800,0.1667,
1960-03,4.0200,4.2833,4.1400,0.2633,-0.1433,0.1200,0.2033,
1960-04,4.0400,4.2800,4.2300,0.2400,-0.0500,0.1900,0.1450,
1960-05,4.2100,4.4333,4.2000,0.2233,-0.2333,-0.0100,0.2283,
1960-06,3.3600,4.0933,4.0400,0.7333,-0.0533,0.6800,0.3933,
1960-07,3.2000,3.7733,3.9100,0.5733,0.1367,0.7100,0.2183,
1960-08,2.9500,3.6100,3.8400,0.6600,0.2300,0.8900,0.2150,
1960-09,3.0700,3.6133,3.8600,0.5433,0.2467,0.7900,0.1483,
1960-10,3.0400,3.7267,3.9200,0.6867,0.1933,0.8800,0.2467,
1960-11,3.0800,3.7800,3.9600,0.7000,0.1800,0.8800,0.2600,
1960-12,2.8600,3.6433,3.9100,0.7833,0.2667,1.0500,0.2583,
1961-01,2.8100,3.6333,3.9000,0.8233,0.2667,1.0900,0.2783,
1961-02,2.9300,3.6333,3.8400,0.7033,0.2067,0.9100,0.2483,
1961-03,2.8800,3.5633,3.8100,0.6833,0.2467,0.9300,0.2183,
1961-04,2.8800,3.5600,3.8100,0.6800,0.2500,0.9300,0.2150,
1961-05,2.8700,3.4700,3.7400,0.6000,0.2700,0.8700,0.1650,
1961-06,3.0600,3.7733,3.8900,0.7133,0.1167,0.8300,0.2983,
1961-07,2.9200,3.7833,3.9300,0.8633,0.1467,1.0100,0.3583,
1961-08,3.0600,3.9200,4.0400,0.8600,0.1200,0.9800,0.3700,
1961-09,3.0600,3.8700,4.0400,0.8100,0.1700,0.9800,0.3200,
1961-10,3.0500,3.7800,4.0100,0.7300,0.2300,0.9600,0.2500,
1961-11,3.0700,3.7900,4.0000,0.7200,0.2100,0.9300,0.2550,
1961-12,3.1800,3.8967,4.0700,0.7167,0.1733,0.8900,0.2717,
1962-01,3.2800,3.9267,4.1000,0.6467,0.1733,0.8200,0.2367,
1962-02,3.2800,3.8733,4.1200,0.5933,0.2467,0.8400,0.1733,
1962-03,3.0600,3.6867,4.0400,0.6267,0.3533,0.9800,0.1367,
1962-04,2.9900,3.6067,3.9300,0.6167,0.3233,0.9400,0.1467,
1962-05,3.0300,3.6433,3.9200,0.6133,0.2767,0.8900,0.1683,
1962-06,3.0300,3.6467,3.9600,0.6167,0.3133,0.9300,0.1517,
1962-07,3.2900,3.8100,4.0500,0.5200,0.2400,0.7600,0.1400,
1962-08,3.2000,3.7167,4.0100,0.5167,0.2933,0.8100,0.1117,
1962-09,3.0600,3.6967,4.0000,0.6367,0.3033,0.9400,0.1667,
1962-10,2.9800,3.6333,3.9400,0.6533,0.3067,0.9600,0.1733,
1962-11,3.0000,3.6400,3.9300,0.6400,0.2900,0.9300,0.1750,
1962-12,3.0100,3.5967,3.9200,0.5867,0.3233,0.9100,0.1317,
1963-01,3.0400,3.6033,3.9300,0.5633,0.3267,0.8900,0.1183,
1963-02,3.0100,3.6567,3.9700,0.6467,0.3133,0.9600,0.1667,
1963-03,3.0300,3.6733,3.9800,0.6433,0.3067,0.9500,0.1683,
1963-04,3.1100,3.7367,4.0300,0.6267,0.2933,0.9200,0.1667,
1963-05,3.1200,3.7300,4.0200,0.6100,0.2900,0.9000,0.1600,
1963-06,3.2000,3.8033,4.0200,0.6033,0.2167,0.8200,0.1933,
1963-07,3.4800,3.8900,4.0600,0.4100,0.1700,0.5800,0.1200,
1963-08,3.5300,3.8867,4.0300,0.3567,0.1433,0.5000,0.1067,
1963-09,3.5700,3.9533,4.0900,0.3833,0.1367,0.5200,0.1233,
1963-10,3.6400,3.9833,4.1200,0.3433,0.1367,0.4800,0.1033,
1963-11,3.7400,4.0267,4.1600,0.2867,0.1333,0.4200,0.0767,
1963-12,3.8100,4.0600,4.1900,0.2500,0.1300,0.3800,0.0600,
1964-01,3.7900,4.0933,4.1900,0.3033,0.0967,0.4000,0.1033,
1964-02,3.7800,4.0600,4.1700,0.2800,0.1100,0.3900,0.0850,
1964-03,3.9100,4.1600,4.2200,0.2500,0.0600,0.3100,0.0950,
1964-04,3.9100,4.1767,4.2400,0.2667,0.0633,0.3300,0.1017,
1964-05,3.8400,4.0967,4.2000,0.2567,0.1033,0.3600,0.0767,
1964-06,3.8300,4.0667,4.1700,0.2367,0.1033,0.3400,0.0667,
1964-07,3.7200,4.0500,4.1600,0.3300,0.1100,0.4400,0.1100,
1964-08,3.7400,4.0567,4.1800,0.3167,0.1233,0.4400,0.0967,
1964-09,3.8400,4.0967,4.2000,0.2567,0.1033,0.3600,0.0767,
1964-10,3.8600,4.0933,4.2000,0.2333,0.1067,0.3400,0.0633,
1964-11,3.9100,4.0767,4.1700,0.1667,0.0933,0.2600,0.0367,
1964-12,4.0200,4.1167,4.1800,0.0967,0.0633,0.1600,0.0167,
1965-01,3.9400,4.1067,4.1900,0.1667,0.0833,0.2500,0.0417,
1965-02,4.0300,4.1467,4.2100,0.1167,0.0633,0.1800,0.0267,
1965-03,4.0600,4.1633,4.2000,0.1033,0.0367,0.1400,0.0333,
1965-04,4.0400,4.1567,4.2000,0.1167,0.0433,0.1600,0.0367,
1965-05,4.0300,4.1567,4.2100,0.1267,0.0533,0.1800,0.0367,
1965-06,3.9900,4.1467,4.2100,0.1567,0.0633,0.2200,0.0467,
1965-07,3.9800,4.1467,4.2100,0.1667,0.0633,0.2300,0.0517,
1965-08,4.0700,4.2033,4.2500,0.1333,0.0467,0.1800,0.0433,
1965-09,4.2000,4.2600,4.3000,0.0600,0.0400,0.1000,0.0100,
1965-10,4.3000,4.3400,4.3200,0.0400,-0.0200,0.0200,0.0300,
1965-11,4.3700,4.4533,4.4000,0.0833,-0.0533,0.0300,0.0683,
1965-12,4.7200,4.7100,4.5000,-0.0100,-0.2100,-0.2200,0.1000,
1966-01,4.8800,4.7900,4.5200,-0.0900,-0.2700,-0.3600,0.0900,
1966-02,4.9400,4.9433,4.7100,0.0033,-0.2333,-0.2300,0.1183,
1966-03,4.9700,4.9200,4.7200,-0.0500,-0.2000,-0.2500,0.0750,
1966-04,4.9000,4.8233,4.6500,-0.0767,-0.1733,-0.2500,0.0483,
1966-05,4.9300,4.8900,4.6900,-0.0400,-0.2000,-0.2400,0.0800,
1966-06,4.9700,4.9433,4.7300,-0.0267,-0.2133,-0.2400,0.0933,
1966-07,5.1700,5.1500,4.8400,-0.0200,-0.3100,-0.3300,0.1450,
