date,t1m,t3m,t6m,t1y,t2y,t3y,t5y,t7y,t10y,t20y,t30y
1/5/62,,,,3.24,,3.7,3.88,,4.03,4.07,
1/12/62,,,,3.32,,3.75,3.93,,4.06,4.08,
1/19/62,,,,3.29,,3.8,3.96,,4.11,4.1,
1/26/62,,,,3.26,,3.77,3.94,,4.1,4.11,
2/2/62,,,,3.29,,3.8,3.98,,4.1,4.13,
2/9/62,,,,3.29,,3.76,3.94,,4.06,4.12,
2/16/62,,,,3.31,,3.71,3.9,,4.03,4.1,
2/23/62,,,,3.29,,3.65,3.86,,4.03,4.13,
3/2/62,,,,3.2,,3.52,3.76,,3.99,4.1,
3/9/62,,,,3.15,,3.52,3.73,,3.99,4.09,
3/16/62,,,,3.1,,3.52,3.72,,3.94,4.05,
3/23/62,,,,2.99,,3.37,3.64,,3.88,4.01,
3/30/62,,,,2.96,,3.39,3.64,,3.89,4,
4/6/62,,,,2.91,,3.34,3.55,,3.82,3.94,
4/13/62,,,,2.97,,3.38,3.59,,3.85,3.93,
4/20/62,,,,3,,3.36,3.6,,3.82,3.91,
4/27/62,,,,3.06,,3.43,3.65,,3.87,3.93,
5/4/62,,,,3.06,,3.44,3.64,,3.86,3.91,
5/11/62,,,,3.01,,3.38,3.62,,3.84,3.89,
5/18/62,,,,3.04,,3.41,3.67,,3.88,3.91,
5/25/62,,,,3.03,,3.42,3.7,,3.91,3.95,
6/1/62,,,,2.98,,3.36,3.65,,3.89,3.93,
6/8/62,,,,2.96,,3.34,3.62,,3.88,3.93,
6/15/62,,,,2.97,,3.32,3.59,,3.88,3.93,
6/22/62,,,,3.04,,3.39,3.62,,3.91,3.96,
6/29/62,,,,3.16,,3.51,3.72,,3.97,4.01,
7/6/62,,,,3.22,,3.59,3.78,,4.01,4.03,
7/13/62,,,,3.27,,3.62,3.79,,4.01,4.06,
7/20/62,,,,3.33,,3.64,3.82,,4.02,4.06,
7/27/62,,,,3.32,,3.61,3.81,,4.01,4.05,
8/3/62,,,,3.3,,3.59,3.79,,4.02,4.05,
8/10/62,,,,3.28,,3.53,3.77,,4,4.04,
8/17/62,,,,3.21,,3.46,3.71,,3.97,4.01,
8/24/62,,,,3.15,,3.39,3.66,,3.95,3.97,
8/31/62,,,,3.11,,3.4,3.67,,3.96,3.98,
9/7/62,,,,3.13,,3.44,3.7,,3.98,4,
9/14/62,,,,3.06,,3.42,3.72,,4,4,
9/21/62,,,,3.04,,3.41,3.71,,3.98,4,
