"","date","t1m","t3m","t6m","t1y","t2y","t3y","t5y","t7y","t10y","t20y","t30y","ts","tm","tl","tm.ts","tl.tm","tl.ts","tm..ts.tl..2"
"1","1/5/62",NA,NA,NA,3.24,NA,3.7,3.88,NA,4.03,4.07,NA,3.24,3.87,4.07,0.63,0.2,0.83,0.215
"2","1/12/62",NA,NA,NA,3.32,NA,3.75,3.93,NA,4.06,4.08,NA,3.32,3.913333333,4.08,0.593333333,0.166666667,0.76,0.213333333
"3","1/19/62",NA,NA,NA,3.29,NA,3.8,3.96,NA,4.11,4.1,NA,3.29,3.956666667,4.1,0.666666667,0.143333333,0.81,0.261666667
"4","1/26/62",NA,NA,NA,3.26,NA,3.77,3.94,NA,4.1,4.11,NA,3.26,3.936666667,4.11,0.676666667,0.173333333,0.85,0.251666667
"5","2/2/62",NA,NA,NA,3.29,NA,3.8,3.98,NA,4.1,4.13,NA,3.29,3.96,4.13,0.67,0.17,0.84,0.25
"6","2/9/62",NA,NA,NA,3.29,NA,3.76,3.94,NA,4.06,4.12,NA,3.29,3.92,4.12,0.63,0.2,0.83,0.215
"7","2/16/62",NA,NA,NA,3.31,NA,3.71,3.9,NA,4.03,4.1,NA,3.31,3.88,4.1,0.57,0.22,0.79,0.175
"8","2/23/62",NA,NA,NA,3.29,NA,3.65,3.86,NA,4.03,4.13,NA,3.29,3.846666667,4.13,0.556666667,0.283333333,0.84,0.136666667
"9","3/2/62",NA,NA,NA,3.2,NA,3.52,3.76,NA,3.99,4.1,NA,3.2,3.756666667,4.1,0.556666667,0.343333333,0.9,0.106666667
"10","3/9/62",NA,NA,NA,3.15,NA,3.52,3.73,NA,3.99,4.09,NA,3.15,3.746666667,4.09,0.596666667,0.343333333,0.94,0.126666667
"11","3/16/62",NA,NA,NA,3.1,NA,3.52,3.72,NA,3.94,4.05,NA,3.1,3.726666667,4.05,0.626666667,0.323333333,0.95,0.151666667
"12","3/23/62",NA,NA,NA,2.99,NA,3.37,3.64,NA,3.88,4.01,NA,2.99,3.63,4.01,0.64,0.38,1.02,0.13
"13","3/30/62",NA,NA,NA,2.96,NA,3.39,3.64,NA,3.89,4,NA,2.96,3.64,4,0.68,0.36,1.04,0.16
"14","4/6/62",NA,NA,NA,2.91,NA,3.34,3.55,NA,3.82,3.94,NA,2.91,3.57,3.94,0.66,0.37,1.03,0.145
"15","4/13/62",NA,NA,NA,2.97,NA,3.38,3.59,NA,3.85,3.93,NA,2.97,3.606666667,3.93,0.636666667,0.323333333,0.96,0.156666667
