date,ts,tm,tl,tm.ts,tl.tm,tl.ts,tm..ts.tl..2,ws
1/5/62,3.24,3.87,4.07,0.63,0.2,0.83,0.215,U
1/12/62,3.32,3.913333333,4.08,0.593333333,0.166666667,0.76,0.213333333,U
1/19/62,3.29,3.956666667,4.1,0.666666667,0.143333333,0.81,0.261666667,U
1/26/62,3.26,3.936666667,4.11,0.676666667,0.173333333,0.85,0.251666667,U
2/2/62,3.29,3.96,4.13,0.67,0.17,0.84,0.25,U
2/9/62,3.29,3.92,4.12,0.63,0.2,0.83,0.215,U
2/16/62,3.31,3.88,4.1,0.57,0.22,0.79,0.175,U
2/23/62,3.29,3.846666667,4.13,0.556666667,0.283333333,0.84,0.136666667,U
3/2/62,3.2,3.756666667,4.1,0.556666667,0.343333333,0.9,0.106666667,U
3/9/62,3.15,3.746666667,4.09,0.596666667,0.343333333,0.94,0.126666667,U
3/16/62,3.1,3.726666667,4.05,0.626666667,0.323333333,0.95,0.151666667,U
3/23/62,2.99,3.63,4.01,0.64,0.38,1.02,0.13,U
3/30/62,2.96,3.64,4,0.68,0.36,1.04,0.16,U
4/6/62,2.91,3.57,3.94,0.66,0.37,1.03,0.145,U
4/13/62,2.97,3.606666667,3.93,0.636666667,0.323333333,0.96,0.156666667,U
4/20/62,3,3.593333333,3.91,0.593333333,0.316666667,0.91,0.138333333,U
4/27/62,3.06,3.65,3.93,0.59,0.28,0.87,0.155,U
5/4/62,3.06,3.646666667,3.91,0.586666667,0.263333333,0.85,0.161666667,U
5/11/62,3.01,3.613333333,3.89,0.603333333,0.276666667,0.88,0.163333333,U
5/18/62,3.04,3.653333333,3.91,0.613333333,0.256666667,0.87,0.178333333,U
5/25/62,3.03,3.676666667,3.95,0.646666667,0.273333333,0.92,0.186666667,U
6/1/62,2.98,3.633333333,3.93,0.653333333,0.296666667,0.95,0.178333333,U
6/8/62,2.96,3.613333333,3.93,0.653333333,0.316666667,0.97,0.168333333,U
6/15/62,2.97,3.596666667,3.93,0.626666667,0.333333333,0.96,0.146666667,U
6/22/62,3.04,3.64,3.96,0.6,0.32,0.92,0.14,U
6/29/62,3.16,3.733333333,4.01,0.573333333,0.276666667,0.85,0.148333333,U
7/6/62,3.22,3.793333333,4.03,0.573333333,0.236666667,0.81,0.168333333,U
7/13/62,3.27,3.806666667,4.06,0.536666667,0.253333333,0.79,0.141666667,U
7/20/62,3.33,3.826666667,4.06,0.496666667,0.233333333,0.73,0.131666667,U
7/27/62,3.32,3.81,4.05,0.49,0.24,0.73,0.125,U
8/3/62,3.3,3.8,4.05,0.5,0.25,0.75,0.125,U
8/10/62,3.28,3.766666667,4.04,0.486666667,0.273333333,0.76,0.106666667,U
8/17/62,3.21,3.713333333,4.01,0.503333333,0.296666667,0.8,0.103333333,U
8/24/62,3.15,3.666666667,3.97,0.516666667,0.303333333,0.82,0.106666667,U
8/31/62,3.11,3.676666667,3.98,0.566666667,0.303333333,0.87,0.131666667,U
9/7/62,3.13,3.706666667,4,0.576666667,0.293333333,0.87,0.141666667,U
9/14/62,3.06,3.713333333,4,0.653333333,0.286666667,0.94,0.183333333,U
9/21/62,3.04,3.7,4,0.66,0.3,0.96,0.18,U
9/28/62,3.03,3.663333333,3.98,0.633333333,0.316666667,0.95,0.158333333,U
10/5/62,2.98,3.61,3.95,0.63,0.34,0.97,0.145,U
10/12/62,2.99,3.63,3.95,0.64,0.32,0.96,0.16,U
10/19/62,2.96,3.623333333,3.93,0.663333333,0.306666667,0.97,0.178333333,U
10/26/62,2.98,3.65,3.94,0.67,0.29,0.96,0.19,U
11/2/62,2.98,3.636666667,3.94,0.656666667,0.303333333,0.96,0.176666667,U
11/9/62,2.98,3.616666667,3.92,0.636666667,0.303333333,0.94,0.166666667,U
11/16/62,2.99,3.633333333,3.93,0.643333333,0.296666667,0.94,0.173333333,U
11/23/62,3.01,3.65,3.94,0.64,0.29,0.93,0.175,U
11/30/62,3.03,3.643333333,3.94,0.613333333,0.296666667,0.91,0.158333333,U
12/7/62,3.02,3.65,3.95,0.63,0.3,0.93,0.165,U
12/14/62,2.99,3.61,3.93,0.62,0.32,0.94,0.15,U
12/21/62,3,3.57,3.9,0.57,0.33,0.9,0.12,U
12/28/62,3.01,3.556666667,3.9,0.546666667,0.343333333,0.89,0.101666667,U
1/4/63,3.04,3.59,3.92,0.55,0.33,0.88,0.11,U
1/11/63,3.03,3.583333333,3.92,0.553333333,0.336666667,0.89,0.108333333,U
1/18/63,3.01,3.573333333,3.92,0.563333333,0.346666667,0.91,0.108333333,U
1/25/63,3.06,3.633333333,3.96,0.573333333,0.326666667,0.9,0.123333333,U
2/1/63,3.05,3.643333333,3.96,0.593333333,0.316666667,0.91,0.138333333,U
2/8/63,3,3.646666667,3.97,0.646666667,0.323333333,0.97,0.161666667,U
2/15/63,3,3.653333333,3.97,0.653333333,0.316666667,0.97,0.168333333,U
2/22/63,3.01,3.653333333,3.96,0.643333333,0.306666667,0.95,0.168333333,U
3/1/63,3.03,3.676666667,3.98,0.646666667,0.303333333,0.95,0.171666667,U
3/8/63,2.99,3.663333333,3.96,0.673333333,0.296666667,0.97,0.188333333,U
3/15/63,3,3.666666667,3.98,0.666666667,0.313333333,0.98,0.176666667,U
3/22/63,3.05,3.67,3.99,0.62,0.32,0.94,0.15,U
3/29/63,3.1,3.703333333,4,0.603333333,0.296666667,0.9,0.153333333,U
4/5/63,3.08,3.696666667,4,0.616666667,0.303333333,0.92,0.156666667,U
4/12/63,3.1,3.73,4.03,0.63,0.3,0.93,0.165,U
4/19/63,3.14,3.756666667,4.05,0.616666667,0.293333333,0.91,0.161666667,U
4/26/63,3.13,3.75,4.04,0.62,0.29,0.91,0.165,U
5/3/63,3.11,3.73,4.03,0.62,0.3,0.92,0.16,U
5/10/63,3.09,3.713333333,4.02,0.623333333,0.306666667,0.93,0.158333333,U
5/17/63,3.09,3.706666667,4.01,0.616666667,0.303333333,0.92,0.156666667,U
5/24/63,3.12,3.723333333,4.02,0.603333333,0.296666667,0.9,0.153333333,U
5/31/63,3.19,3.773333333,4.03,0.583333333,0.256666667,0.84,0.163333333,U
6/7/63,3.23,3.803333333,4.03,0.573333333,0.226666667,0.8,0.173333333,U
6/14/63,3.18,3.8,4.02,0.62,0.22,0.84,0.2,U
6/21/63,3.19,3.813333333,4.02,0.623333333,0.206666667,0.83,0.208333333,U
6/28/63,3.19,3.81,4.03,0.62,0.22,0.84,0.2,U
7/5/63,3.29,3.856666667,4.06,0.566666667,0.203333333,0.77,0.181666667,U
7/12/63,3.5,3.903333333,4.08,0.403333333,0.176666667,0.58,0.113333333,U
7/19/63,3.55,3.903333333,4.06,0.353333333,0.156666667,0.51,0.098333333,U
7/26/63,3.51,3.9,4.04,0.39,0.14,0.53,0.125,U
8/2/63,3.49,3.873333333,4.03,0.383333333,0.156666667,0.54,0.113333333,U
8/9/63,3.5,3.876666667,4.03,0.376666667,0.153333333,0.53,0.111666667,U
8/16/63,3.53,3.893333333,4.03,0.363333333,0.136666667,0.5,0.113333333,U
8/23/63,3.55,3.886666667,4.03,0.336666667,0.143333333,0.48,0.096666667,U
8/30/63,3.58,3.903333333,4.03,0.323333333,0.126666667,0.45,0.098333333,U
9/6/63,3.58,3.943333333,4.08,0.363333333,0.136666667,0.5,0.113333333,U
9/13/63,3.57,3.956666667,4.1,0.386666667,0.143333333,0.53,0.121666667,U
9/20/63,3.58,3.956666667,4.1,0.376666667,0.143333333,0.52,0.116666667,U
9/27/63,3.56,3.95,4.09,0.39,0.14,0.53,0.125,U
10/4/63,3.59,3.94,4.08,0.35,0.14,0.49,0.105,U
10/11/63,3.61,3.963333333,4.11,0.353333333,0.146666667,0.5,0.103333333,U
10/18/63,3.64,3.98,4.12,0.34,0.14,0.48,0.1,U
10/25/63,3.69,3.996666667,4.13,0.306666667,0.133333333,0.44,0.086666667,U
11/1/63,3.68,4.02,4.14,0.34,0.12,0.46,0.11,U
11/8/63,3.75,4.053333333,4.17,0.303333333,0.116666667,0.42,0.093333333,U
11/15/63,3.77,4.04,4.16,0.27,0.12,0.39,0.075,U
11/22/63,3.73,4.013333333,4.15,0.283333333,0.136666667,0.42,0.073333333,U
11/29/63,3.73,4.003333333,4.15,0.273333333,0.146666667,0.42,0.063333333,U
12/6/63,3.78,4.026666667,4.17,0.246666667,0.143333333,0.39,0.051666667,U
12/13/63,3.8,4.043333333,4.18,0.243333333,0.136666667,0.38,0.053333333,U
12/20/63,3.83,4.086666667,4.21,0.256666667,0.123333333,0.38,0.066666667,U
12/27/63,3.84,4.086666667,4.21,0.246666667,0.123333333,0.37,0.061666667,U
1/3/64,3.84,4.086666667,4.19,0.246666667,0.103333333,0.35,0.071666667,U
1/10/64,3.81,4.106666667,4.2,0.296666667,0.093333333,0.39,0.101666667,U
1/17/64,3.79,4.1,4.2,0.31,0.1,0.41,0.105,U
1/24/64,3.77,4.076666667,4.18,0.306666667,0.103333333,0.41,0.101666667,U
1/31/64,3.78,4.076666667,4.18,0.296666667,0.103333333,0.4,0.096666667,U
2/7/64,3.74,4.05,4.17,0.31,0.12,0.43,0.095,U
2/14/64,3.75,4.046666667,4.17,0.296666667,0.123333333,0.42,0.086666667,U
2/21/64,3.78,4.056666667,4.17,0.276666667,0.113333333,0.39,0.081666667,U
2/28/64,3.86,4.09,4.18,0.23,0.09,0.32,0.07,U
3/6/64,3.91,4.12,4.19,0.21,0.07,0.28,0.07,U
3/13/64,3.9,4.136666667,4.2,0.236666667,0.063333333,0.3,0.086666667,U
3/20/64,3.9,4.163333333,4.22,0.263333333,0.056666667,0.32,0.103333333,U
3/27/64,3.94,4.216666667,4.25,0.276666667,0.033333333,0.31,0.121666667,U
