,date,U,H,F,D,B,ms,ns
1,1945-01,1,0,0,0,0,U,1
2,1945-02,1,0,0,0,0,U,1
3,1945-03,1,0,0,0,0,U,1
4,1945-04,1,0,0,0,0,U,1
5,1945-05,1,0,0,0,0,U,1
6,1945-06,1,0,0,0,0,U,1
7,1945-07,1,0,0,0,0,U,1
8,1945-08,1,0,0,0,0,U,1
9,1945-09,1,0,0,0,0,U,1
10,1945-10,1,0,0,0,0,U,1
11,1945-11,1,0,0,0,0,U,1
12,1945-12,1,0,0,0,0,U,1
13,1946-01,1,0,0,0,0,U,1
14,1946-02,1,0,0,0,0,U,1
15,1946-03,1,0,0,0,0,U,1
16,1946-04,1,0,0,0,0,U,1
17,1946-05,1,0,0,0,0,U,1
18,1946-06,1,0,0,0,0,U,1
19,1946-07,1,0,0,0,0,U,1
20,1946-08,1,0,0,0,0,U,1
21,1946-09,1,0,0,0,0,U,1
22,1946-10,1,0,0,0,0,U,1
23,1946-11,1,0,0,0,0,U,1
24,1946-12,1,0,0,0,0,U,1
25,1947-01,1,0,0,0,0,U,1
26,1947-02,1,0,0,0,0,U,1
27,1947-03,1,0,0,0,0,U,1
28,1947-04,1,0,0,0,0,U,1
29,1947-05,1,0,0,0,0,U,1
30,1947-06,1,0,0,0,0,U,1
31,1947-07,1,0,0,0,0,U,1
32,1947-08,1,0,0,0,0,U,1
33,1947-09,1,0,0,0,0,U,1
34,1947-10,1,0,0,0,0,U,1
35,1947-11,1,0,0,0,0,U,1
36,1947-12,1,0,0,0,0,U,1
37,1948-01,1,0,0,0,0,U,1
38,1948-02,1,0,0,0,0,U,1
39,1948-03,1,0,0,0,0,U,1
40,1948-04,1,0,0,0,0,U,1
41,1948-05,1,0,0,0,0,U,1
42,1948-06,1,0,0,0,0,U,1
43,1948-07,1,0,0,0,0,U,1
44,1948-08,1,0,0,0,0,U,1
45,1948-09,1,0,0,0,0,U,1
46,1948-10,1,0,0,0,0,U,1
47,1948-11,1,0,0,0,0,U,1
48,1948-12,1,0,0,0,0,U,1
49,1949-01,1,0,0,0,0,U,1
50,1949-02,1,0,0,0,0,U,1
51,1949-03,1,0,0,0,0,U,1
52,1949-04,1,0,0,0,0,U,1
53,1949-05,1,0,0,0,0,U,1
54,1949-06,1,0,0,0,0,U,1
55,1949-07,1,0,0,0,0,U,1
56,1949-08,1,0,0,0,0,U,1
57,1949-09,1,0,0,0,0,U,1
58,1949-10,1,0,0,0,0,U,1
59,1949-11,1,0,0,0,0,U,1
60,1949-12,1,0,0,0,0,U,1
61,1950-01,1,0,0,0,0,U,1
62,1950-02,1,0,0,0,0,U,1
63,1950-03,1,0,0,0,0,U,1
64,1950-04,1,0,0,0,0,U,1
65,1950-05,1,0,0,0,0,U,1
66,1950-06,1,0,0,0,0,U,1
67,1950-07,1,0,0,0,0,U,1
68,1950-08,1,0,0,0,0,U,1
69,1950-09,1,0,0,0,0,U,1
70,1950-10,1,0,0,0,0,U,1
71,1950-11,1,0,0,0,0,U,1
72,1950-12,1,0,0,0,0,U,1
73,1951-01,1,0,0,0,0,U,1
74,1951-02,1,0,0,0,0,U,1
75,1951-03,1,0,0,0,0,U,1
76,1951-04,1,0,0,0,0,U,1
77,1951-05,1,0,0,0,0,U,1
78,1951-06,1,0,0,0,0,U,1
79,1951-07,1,0,0,0,0,U,1
80,1951-08,1,0,0,0,0,U,1
81,1951-09,1,0,0,0,0,U,1
82,1951-10,1,0,0,0,0,U,1
83,1951-11,1,0,0,0,0,U,1
84,1951-12,1,0,0,0,0,U,1
85,1952-01,1,0,0,0,0,U,1
86,1952-02,1,0,0,0,0,U,1
87,1952-03,1,0,0,0,0,U,1
88,1952-04,1,0,0,0,0,U,1
89,1952-05,1,0,0,0,0,U,1
90,1952-06,1,0,0,0,0,U,1
91,1952-07,1,0,0,0,0,U,1
92,1952-08,1,0,0,0,0,U,1
93,1952-09,1,0,0,0,0,U,1
94,1952-10,1,0,0,0,0,U,1
95,1952-11,1,0,0,0,0,U,1
96,1952-12,1,0,0,0,0,U,1
97,1953-01,1,0,0,0,0,U,1
98,1953-02,1,0,0,0,0,U,1
99,1953-03,1,0,0,0,0,U,1
100,1953-04,1,0,0,0,0,U,1
101,1953-05,1,0,0,0,0,U,1
102,1953-06,1,0,0,0,0,U,1
103,1953-07,1,0,0,0,0,U,1
104,1953-08,1,0,0,0,0,U,1
105,1953-09,1,0,0,0,0,U,1
106,1953-10,1,0,0,0,0,U,1
107,1953-11,1,0,0,0,0,U,1
108,1953-12,1,0,0,0,0,U,1
109,1954-01,1,0,0,0,0,U,1
110,1954-02,1,0,0,0,0,U,1
