"","date","B","D","F","H","U","Ua","Ub","Shape","S"
"1","1953-04",0,0,0,0,1,1,0,"Ua","0.5"
"2","1953-05",0,0,0,0,1,1,0,"Ua","0.5"
"3","1953-06",0,0,0,0,1,1,0,"Ua","0.5"
"4","1953-07",0,0,0,0,1,1,0,"Ua","0.5"
"5","1953-08",0,0,0,0,1,1,0,"Ua","0.5"
"6","1953-09",0,0,0,0,1,1,0,"Ua","0.5"
"7","1953-10",0,0,0,0,1,1,0,"Ua","0.5"
"8","1953-11",0,0,0,0,1,1,0,"Ua","0.5"
"9","1953-12",0,0,0,0,1,1,0,"Ua","0.5"
"10","1954-01",0,0,0,0,1,1,0,"Ua","0.5"
"11","1954-02",0,0,0,0,1,1,0,"Ua","0.5"
"12","1954-03",0,0,0,0,1,1,0,"Ua","0.5"
"13","1954-04",0,0,0,0,1,1,0,"Ua","0.5"
"14","1954-05",0,0,0,0,1,1,0,"Ua","0.5"
"15","1954-06",0,0,0,0,1,1,0,"Ua","0.5"
"16","1954-07",0,0,0,0,1,1,0,"Ua","0.5"
"17","1954-08",0,0,0,0,1,1,0,"Ua","0.5"
"18","1954-09",0,0,0,0,1,1,0,"Ua","0.5"
"19","1954-10",0,0,0,0,1,1,0,"Ua","0.5"
"20","1954-11",0,0,0,0,1,1,0,"Ua","0.5"
"21","1954-12",0,0,0,0,1,1,0,"Ua","0.5"
"22","1955-01",0,0,0,0,1,1,0,"Ua","0.5"
"23","1955-02",0,0,0,0,1,1,0,"Ua","0.5"
"24","1955-03",0,0,0,0,1,1,0,"Ua","0.5"
"25","1955-04",0,0,0,0,1,1,0,"Ua","0.5"
"26","1955-05",0,0,0,0,1,1,0,"Ua","0.5"
"27","1955-06",0,0,0,0,1,1,0,"Ua","0.5"
"28","1955-07",0,0,0,0,1,1,0,"Ua","0.5"
"29","1955-08",0,0,0,0,1,1,0,"Ua","0.5"
"30","1955-09",0,0,0,0,1,1,0,"Ua","0.5"
