"","date","Ufh","Ufb","Usb","Ush","H","D","B","F","ns","ms"
"1","1945-01",0,0,1,0,0,0,0,0,"0.75","U3"
"2","1945-02",0,1,0,0,0,0,0,0,"0.5","U2"
"3","1945-03",0,1,0,0,0,0,0,0,"0.5","U2"
"4","1945-04",0,1,0,0,0,0,0,0,"0.5","U2"
"5","1945-05",0,1,0,0,0,0,0,0,"0.5","U2"
"6","1945-06",0,1,0,0,0,0,0,0,"0.5","U2"
"7","1945-07",0,1,0,0,0,0,0,0,"0.5","U2"
"8","1945-08",0,1,0,0,0,0,0,0,"0.5","U2"
"9","1945-09",0,1,0,0,0,0,0,0,"0.5","U2"
"10","1945-10",0,1,0,0,0,0,0,0,"0.5","U2"
"11","1945-11",0,1,0,0,0,0,0,0,"0.5","U2"
"12","1945-12",0,1,0,0,0,0,0,0,"0.5","U2"
"13","1946-01",0,1,0,0,0,0,0,0,"0.5","U2"
"14","1946-02",0,1,0,0,0,0,0,0,"0.5","U2"
"15","1946-03",0,1,0,0,0,0,0,0,"0.5","U2"
"16","1946-04",0,1,0,0,0,0,0,0,"0.5","U2"
"17","1946-05",0,1,0,0,0,0,0,0,"0.5","U2"
"18","1946-06",0,1,0,0,0,0,0,0,"0.5","U2"
"19","1946-07",0,1,0,0,0,0,0,0,"0.5","U2"
"20","1946-08",0,1,0,0,0,0,0,0,"0.5","U2"
"21","1946-09",0,1,0,0,0,0,0,0,"0.5","U2"
"22","1946-10",0,1,0,0,0,0,0,0,"0.5","U2"
"23","1946-11",0,1,0,0,0,0,0,0,"0.5","U2"
"24","1946-12",0,1,0,0,0,0,0,0,"0.5","U2"
"25","1947-01",1,0,0,0,0,0,0,0,"0.25","U1"
"26","1947-02",1,0,0,0,0,0,0,0,"0.25","U1"
"27","1947-03",0,1,0,0,0,0,0,0,"0.5","U2"
"28","1947-04",0,1,0,0,0,0,0,0,"0.5","U2"
"29","1947-05",1,0,0,0,0,0,0,0,"0.25","U1"
"30","1947-06",1,0,0,0,0,0,0,0,"0.25","U1"
"31","1947-07",0,1,0,0,0,0,0,0,"0.5","U2"
"32","1947-08",0,1,0,0,0,0,0,0,"0.5","U2"
"33","1947-09",0,1,0,0,0,0,0,0,"0.5","U2"
"34","1947-10",0,1,0,0,0,0,0,0,"0.5","U2"
"35","1947-11",0,1,0,0,0,0,0,0,"0.5","U2"
"36","1947-12",0,1,0,0,0,0,0,0,"0.5","U2"
"37","1948-01",0,1,0,0,0,0,0,0,"0.5","U2"
"38","1948-02",0,1,0,0,0,0,0,0,"0.5","U2"
"39","1948-03",0,1,0,0,0,0,0,0,"0.5","U2"
"40","1948-04",0,1,0,0,0,0,0,0,"0.5","U2"
"41","1948-05",0,1,0,0,0,0,0,0,"0.5","U2"
"42","1948-06",0,1,0,0,0,0,0,0,"0.5","U2"
"43","1948-07",0,1,0,0,0,0,0,0,"0.5","U2"
"44","1948-08",0,1,0,0,0,0,0,0,"0.5","U2"
"45","1948-09",0,1,0,0,0,0,0,0,"0.5","U2"
"46","1948-10",0,1,0,0,0,0,0,0,"0.5","U2"
"47","1948-11",0,1,0,0,0,0,0,0,"0.5","U2"
"48","1948-12",0,1,0,0,0,0,0,0,"0.5","U2"
"49","1949-01",0,1,0,0,0,0,0,0,"0.5","U2"
"50","1949-02",0,1,0,0,0,0,0,0,"0.5","U2"
"51","1949-03",0,1,0,0,0,0,0,0,"0.5","U2"
"52","1949-04",0,1,0,0,0,0,0,0,"0.5","U2"
"53","1949-05",0,1,0,0,0,0,0,0,"0.5","U2"
"54","1949-06",0,1,0,0,0,0,0,0,"0.5","U2"
"55","1949-07",0,1,0,0,0,0,0,0,"0.5","U2"
"56","1949-08",0,1,0,0,0,0,0,0,"0.5","U2"
"57","1949-09",0,1,0,0,0,0,0,0,"0.5","U2"
"58","1949-10",0,1,0,0,0,0,0,0,"0.5","U2"
"59","1949-11",0,1,0,0,0,0,0,0,"0.5","U2"
"60","1949-12",0,1,0,0,0,0,0,0,"0.5","U2"
"61","1950-01",0,1,0,0,0,0,0,0,"0.5","U2"
"62","1950-02",0,1,0,0,0,0,0,0,"0.5","U2"
"63","1950-03",0,1,0,0,0,0,0,0,"0.5","U2"
"64","1950-04",0,1,0,0,0,0,0,0,"0.5","U2"
"65","1950-05",0,1,0,0,0,0,0,0,"0.5","U2"
"66","1950-06",0,1,0,0,0,0,0,0,"0.5","U2"
"67","1950-07",0,1,0,0,0,0,0,0,"0.5","U2"
"68","1950-08",0,1,0,0,0,0,0,0,"0.5","U2"
"69","1950-09",0,1,0,0,0,0,0,0,"0.5","U2"
"70","1950-10",0,1,0,0,0,0,0,0,"0.5","U2"
"71","1950-11",0,1,0,0,0,0,0,0,"0.5","U2"
"72","1950-12",0,1,0,0,0,0,0,0,"0.5","U2"
"73","1951-01",0,1,0,0,0,0,0,0,"0.5","U2"
"74","1951-02",0,1,0,0,0,0,0,0,"0.5","U2"
"75","1951-03",0,1,0,0,0,0,0,0,"0.5","U2"
"76","1951-04",1,0,0,0,0,0,0,0,"0.25","U1"
"77","1951-05",1,0,0,0,0,0,0,0,"0.25","U1"
"78","1951-06",0,1,0,0,0,0,0,0,"0.5","U2"
"79","1951-07",0,1,0,0,0,0,0,0,"0.5","U2"
"80","1951-08",0,1,0,0,0,0,0,0,"0.5","U2"
"81","1951-09",0,1,0,0,0,0,0,0,"0.5","U2"
"82","1951-10",0,1,0,0,0,0,0,0,"0.5","U2"
"83","1951-11",0,1,0,0,0,0,0,0,"0.5","U2"
"84","1951-12",0,1,0,0,0,0,0,0,"0.5","U2"
"85","1952-01",0,1,0,0,0,0,0,0,"0.5","U2"
"86","1952-02",0,1,0,0,0,0,0,0,"0.5","U2"
"87","1952-03",0,1,0,0,0,0,0,0,"0.5","U2"
"88","1952-04",0,1,0,0,0,0,0,0,"0.5","U2"
"89","1952-05",0,1,0,0,0,0,0,0,"0.5","U2"
"90","1952-06",0,1,0,0,0,0,0,0,"0.5","U2"
"91","1952-07",0,1,0,0,0,0,0,0,"0.5","U2"
"92","1952-08",1,0,0,0,0,0,0,0,"0.25","U1"
"93","1952-09",1,0,0,0,0,0,0,0,"0.25","U1"
"94","1952-10",1,0,0,0,0,0,0,0,"0.25","U1"
"95","1952-11",0,1,0,0,0,0,0,0,"0.5","U2"
"96","1952-12",0,1,0,0,0,0,0,0,"0.5","U2"
"97","1953-01",0,1,0,0,0,0,0,0,"0.5","U2"
"98","1953-02",1,0,0,0,0,0,0,0,"0.25","U1"
"99","1953-03",0,1,0,0,0,0,0,0,"0.5","U2"
"100","1953-04",0,1,0,0,0,0,0,0,"0.5","U2"
"101","1953-05",0,1,0,0,0,0,0,0,"0.5","U2"
"102","1953-06",1,0,0,0,0,0,0,0,"0.25","U1"
"103","1953-07",0,1,0,0,0,0,0,0,"0.5","U2"
"104","1953-08",1,0,0,0,0,0,0,0,"0.25","U1"
"105","1953-09",1,0,0,0,0,0,0,0,"0.25","U1"
"106","1953-10",1,0,0,0,0,0,0,0,"0.25","U1"
"107","1953-11",1,0,0,0,0,0,0,0,"0.25","U1"
"108","1953-12",0,1,0,0,0,0,0,0,"0.5","U2"
"109","1954-01",1,0,0,0,0,0,0,0,"0.25","U1"
"110","1954-02",0,1,0,0,0,0,0,0,"0.5","U2"
"111","1954-03",0,1,0,0,0,0,0,0,"0.5","U2"
"112","1954-04",1,0,0,0,0,0,0,0,"0.25","U1"
"113","1954-05",1,0,0,0,0,0,0,0,"0.25","U1"
"114","1954-06",1,0,0,0,0,0,0,0,"0.25","U1"
"115","1954-07",1,0,0,0,0,0,0,0,"0.25","U1"
"116","1954-08",1,0,0,0,0,0,0,0,"0.25","U1"
"117","1954-09",1,0,0,0,0,0,0,0,"0.25","U1"
"118","1954-10",1,0,0,0,0,0,0,0,"0.25","U1"
"119","1954-11",1,0,0,0,0,0,0,0,"0.25","U1"
"120","1954-12",1,0,0,0,0,0,0,0,"0.25","U1"
"121","1955-01",1,0,0,0,0,0,0,0,"0.25","U1"
"122","1955-02",1,0,0,0,0,0,0,0,"0.25","U1"
"123","1955-03",1,0,0,0,0,0,0,0,"0.25","U1"
"124","1955-04",1,0,0,0,0,0,0,0,"0.25","U1"
"125","1955-05",1,0,0,0,0,0,0,0,"0.25","U1"
