"","date","U","H","F","D","B","Shape","ns"
"1","1953-04",1,0,0,0,0,"U","1"
"2","1953-05",1,0,0,0,0,"U","1"
"3","1953-06",1,0,0,0,0,"U","1"
"4","1953-07",1,0,0,0,0,"U","1"
"5","1953-08",1,0,0,0,0,"U","1"
"6","1953-09",1,0,0,0,0,"U","1"
"7","1953-10",1,0,0,0,0,"U","1"
"8","1953-11",1,0,0,0,0,"U","1"
"9","1953-12",1,0,0,0,0,"U","1"
"10","1954-01",1,0,0,0,0,"U","1"
"11","1954-02",1,0,0,0,0,"U","1"
"12","1954-03",1,0,0,0,0,"U","1"
"13","1954-04",1,0,0,0,0,"U","1"
"14","1954-05",1,0,0,0,0,"U","1"
"15","1954-06",1,0,0,0,0,"U","1"
"16","1954-07",1,0,0,0,0,"U","1"
"17","1954-08",1,0,0,0,0,"U","1"
"18","1954-09",1,0,0,0,0,"U","1"
"19","1954-10",1,0,0,0,0,"U","1"
"20","1954-11",1,0,0,0,0,"U","1"
"21","1954-12",1,0,0,0,0,"U","1"
"22","1955-01",1,0,0,0,0,"U","1"
"23","1955-02",1,0,0,0,0,"U","1"
"24","1955-03",1,0,0,0,0,"U","1"
"25","1955-04",1,0,0,0,0,"U","1"
"26","1955-05",1,0,0,0,0,"U","1"
"27","1955-06",1,0,0,0,0,"U","1"
"28","1955-07",1,0,0,0,0,"U","1"
"29","1955-08",1,0,0,0,0,"U","1"
"30","1955-09",1,0,0,0,0,"U","1"
"31","1955-10",1,0,0,0,0,"U","1"
"32","1955-11",1,0,0,0,0,"U","1"
"33","1955-12",1,0,0,0,0,"U","1"
"34","1956-01",1,0,0,0,0,"U","1"
"35","1956-02",1,0,0,0,0,"U","1"
"36","1956-03",1,0,0,0,0,"U","1"
"37","1956-04",0,1,0,0,0,"H","2"
"38","1956-05",0,1,0,0,0,"H","2"
"39","1956-06",1,0,0,0,0,"U","1"
"40","1956-07",1,0,0,0,0,"U","1"
"41","1956-08",0,1,0,0,0,"H","2"
"42","1956-09",0,1,0,0,0,"H","2"
"43","1956-10",0,1,0,0,0,"H","2"
"44","1956-11",0,1,0,0,0,"H","2"
"45","1956-12",0,1,0,0,0,"H","2"
"46","1957-01",0,0,1,0,0,"F","5"
"47","1957-02",0,0,1,0,0,"F","5"
"48","1957-03",0,0,1,0,0,"F","5"
"49","1957-04",0,0,1,0,0,"F","5"
"50","1957-05",0,1,0,0,0,"H","2"
"51","1957-06",0,1,0,0,0,"H","2"
"52","1957-07",0,1,0,0,0,"H","2"
"53","1957-08",0,0,0,1,0,"D","3"
"54","1957-09",0,0,0,1,0,"D","3"
"55","1957-10",0,1,0,0,0,"H","2"
"56","1957-11",0,1,0,0,0,"H","2"
"57","1957-12",0,0,0,0,1,"B","4"
"58","1958-01",1,0,0,0,0,"U","1"
"59","1958-02",1,0,0,0,0,"U","1"
"60","1958-03",1,0,0,0,0,"U","1"
"61","1958-04",1,0,0,0,0,"U","1"
"62","1958-05",1,0,0,0,0,"U","1"
"63","1958-06",1,0,0,0,0,"U","1"
"64","1958-07",1,0,0,0,0,"U","1"
"65","1958-08",1,0,0,0,0,"U","1"
"66","1958-09",1,0,0,0,0,"U","1"
"67","1958-10",1,0,0,0,0,"U","1"
"68","1958-11",1,0,0,0,0,"U","1"
"69","1958-12",1,0,0,0,0,"U","1"
"70","1959-01",1,0,0,0,0,"U","1"
"71","1959-02",1,0,0,0,0,"U","1"
"72","1959-03",1,0,0,0,0,"U","1"
"73","1959-04",1,0,0,0,0,"U","1"
"74","1959-05",0,1,0,0,0,"H","2"
"75","1959-06",0,1,0,0,0,"H","2"
"76","1959-07",0,1,0,0,0,"H","2"
"77","1959-08",0,1,0,0,0,"H","2"
"78","1959-09",0,0,0,1,0,"D","3"
"79","1959-10",0,0,0,1,0,"D","3"
"80","1959-11",0,0,0,1,0,"D","3"
"81","1959-12",0,0,0,1,0,"D","3"
"82","1960-01",0,0,0,1,0,"D","3"
"83","1960-02",0,1,0,0,0,"H","2"
"84","1960-03",0,1,0,0,0,"H","2"
"85","1960-04",0,1,0,0,0,"H","2"
"86","1960-05",0,1,0,0,0,"H","2"
"87","1960-06",1,0,0,0,0,"U","1"
"88","1960-07",1,0,0,0,0,"U","1"
"89","1960-08",1,0,0,0,0,"U","1"
"90","1960-09",1,0,0,0,0,"U","1"
"91","1960-10",1,0,0,0,0,"U","1"
"92","1960-11",1,0,0,0,0,"U","1"
"93","1960-12",1,0,0,0,0,"U","1"
"94","1961-01",1,0,0,0,0,"U","1"
"95","1961-02",1,0,0,0,0,"U","1"
"96","1961-03",1,0,0,0,0,"U","1"
"97","1961-04",1,0,0,0,0,"U","1"
"98","1961-05",1,0,0,0,0,"U","1"
"99","1961-06",1,0,0,0,0,"U","1"
"100","1961-07",1,0,0,0,0,"U","1"
"101","1961-08",1,0,0,0,0,"U","1"
"102","1961-09",1,0,0,0,0,"U","1"
"103","1961-10",1,0,0,0,0,"U","1"
"104","1961-11",1,0,0,0,0,"U","1"
"105","1961-12",1,0,0,0,0,"U","1"
"106","1962-01",1,0,0,0,0,"U","1"
"107","1962-02",1,0,0,0,0,"U","1"
"108","1962-03",1,0,0,0,0,"U","1"
"109","1962-04",1,0,0,0,0,"U","1"
"110","1962-05",1,0,0,0,0,"U","1"
"111","1962-06",1,0,0,0,0,"U","1"
"112","1962-07",1,0,0,0,0,"U","1"
"113","1962-08",1,0,0,0,0,"U","1"
"114","1962-09",1,0,0,0,0,"U","1"
"115","1962-10",1,0,0,0,0,"U","1"
"116","1962-11",1,0,0,0,0,"U","1"
"117","1962-12",1,0,0,0,0,"U","1"
"118","1963-01",1,0,0,0,0,"U","1"
"119","1963-02",1,0,0,0,0,"U","1"
"120","1963-03",1,0,0,0,0,"U","1"
"121","1963-04",1,0,0,0,0,"U","1"
"122","1963-05",1,0,0,0,0,"U","1"
"123","1963-06",1,0,0,0,0,"U","1"
"124","1963-07",1,0,0,0,0,"U","1"
"125","1963-08",1,0,0,0,0,"U","1"
"126","1963-09",1,0,0,0,0,"U","1"
"127","1963-10",1,0,0,0,0,"U","1"
"128","1963-11",1,0,0,0,0,"U","1"
"129","1963-12",1,0,0,0,0,"U","1"
"130","1964-01",1,0,0,0,0,"U","1"
"131","1964-02",1,0,0,0,0,"U","1"
"132","1964-03",1,0,0,0,0,"U","1"
"133","1964-04",1,0,0,0,0,"U","1"
"134","1964-05",1,0,0,0,0,"U","1"
"135","1964-06",1,0,0,0,0,"U","1"
"136","1964-07",1,0,0,0,0,"U","1"
"137","1964-08",1,0,0,0,0,"U","1"
"138","1964-09",1,0,0,0,0,"U","1"
"139","1964-10",1,0,0,0,0,"U","1"
"140","1964-11",1,0,0,0,0,"U","1"
"141","1964-12",0,0,1,0,0,"F","5"
"142","1965-01",1,0,0,0,0,"U","1"
"143","1965-02",0,0,1,0,0,"F","5"
"144","1965-03",0,0,1,0,0,"F","5"
"145","1965-04",0,0,1,0,0,"F","5"
"146","1965-05",1,0,0,0,0,"U","1"
"147","1965-06",1,0,0,0,0,"U","1"
"148","1965-07",1,0,0,0,0,"U","1"
"149","1965-08",1,0,0,0,0,"U","1"
"150","1965-09",0,0,1,0,0,"F","5"
"151","1965-10",0,0,1,0,0,"F","5"
"152","1965-11",0,0,1,0,0,"F","5"
"153","1965-12",0,1,0,0,0,"H","2"
"154","1966-01",0,1,0,0,0,"H","2"
"155","1966-02",0,1,0,0,0,"H","2"
"156","1966-03",0,0,0,1,0,"D","3"
"157","1966-04",0,0,0,1,0,"D","3"
"158","1966-05",0,1,0,0,0,"H","2"
"159","1966-06",0,1,0,0,0,"H","2"
"160","1966-07",0,1,0,0,0,"H","2"
"161","1966-08",0,1,0,0,0,"H","2"
"162","1966-09",0,0,0,1,0,"D","3"
"163","1966-10",0,0,0,1,0,"D","3"
"164","1966-11",0,0,0,1,0,"D","3"
"165","1966-12",0,0,0,1,0,"D","3"
"166","1967-01",0,0,0,1,0,"D","3"
"167","1967-02",0,1,0,0,0,"H","2"
"168","1967-03",1,0,0,0,0,"U","1"
"169","1967-04",1,0,0,0,0,"U","1"
"170","1967-05",1,0,0,0,0,"U","1"
"171","1967-06",1,0,0,0,0,"U","1"
"172","1967-07",0,1,0,0,0,"H","2"
"173","1967-08",0,1,0,0,0,"H","2"
"174","1967-09",0,1,0,0,0,"H","2"
"175","1967-10",0,1,0,0,0,"H","2"
"176","1967-11",0,1,0,0,0,"H","2"
"177","1967-12",0,0,1,0,0,"F","5"
"178","1968-01",0,1,0,0,0,"H","2"
"179","1968-02",0,1,0,0,0,"H","2"
"180","1968-03",0,1,0,0,0,"H","2"
"181","1968-04",0,1,0,0,0,"H","2"
"182","1968-05",0,0,0,1,0,"D","3"
"183","1968-06",0,0,0,1,0,"D","3"
"184","1968-07",0,0,0,1,0,"D","3"
"185","1968-08",0,1,0,0,0,"H","2"
"186","1968-09",0,0,1,0,0,"F","5"
"187","1968-10",0,0,1,0,0,"F","5"
"188","1968-11",0,0,0,0,1,"B","4"
"189","1968-12",0,0,0,1,0,"D","3"
"190","1969-01",0,0,0,1,0,"D","3"
"191","1969-02",0,0,0,1,0,"D","3"
"192","1969-03",0,1,0,0,0,"H","2"
"193","1969-04",0,1,0,0,0,"H","2"
"194","1969-05",0,1,0,0,0,"H","2"
"195","1969-06",0,0,0,1,0,"D","3"
"196","1969-07",0,0,0,1,0,"D","3"
"197","1969-08",0,0,0,1,0,"D","3"
"198","1969-09",0,0,0,1,0,"D","3"
"199","1969-10",0,0,0,1,0,"D","3"
"200","1969-11",0,0,0,1,0,"D","3"
"201","1969-12",0,0,0,1,0,"D","3"
"202","1970-01",0,0,0,1,0,"D","3"
"203","1970-02",0,1,0,0,0,"H","2"
"204","1970-03",0,1,0,0,0,"H","2"
"205","1970-04",0,1,0,0,0,"H","2"
"206","1970-05",0,1,0,0,0,"H","2"
"207","1970-06",0,1,0,0,0,"H","2"
"208","1970-07",0,1,0,0,0,"H","2"
"209","1970-08",0,1,0,0,0,"H","2"
"210","1970-09",0,1,0,0,0,"H","2"
"211","1970-10",0,1,0,0,0,"H","2"
"212","1970-11",1,0,0,0,0,"U","1"
"213","1970-12",1,0,0,0,0,"U","1"
"214","1971-01",1,0,0,0,0,"U","1"
"215","1971-02",1,0,0,0,0,"U","1"
"216","1971-03",1,0,0,0,0,"U","1"
"217","1971-04",1,0,0,0,0,"U","1"
"218","1971-05",1,0,0,0,0,"U","1"
