rec,date,U,H,F,D,B,ms,ns
0,1945-01,1,0,0,0,0,U,1
0,1945-02,1,0,0,0,0,U,1
1,1945-03,1,0,0,0,0,U,1
1,1945-04,1,0,0,0,0,U,1
1,1945-05,1,0,0,0,0,U,1
1,1945-06,1,0,0,0,0,U,1
1,1945-07,1,0,0,0,0,U,1
1,1945-08,1,0,0,0,0,U,1
1,1945-09,1,0,0,0,0,U,1
1,1945-10,1,0,0,0,0,U,1
0,1945-11,1,0,0,0,0,U,1
0,1945-12,1,0,0,0,0,U,1
0,1946-01,1,0,0,0,0,U,1
0,1946-02,1,0,0,0,0,U,1
0,1946-03,1,0,0,0,0,U,1
0,1946-04,1,0,0,0,0,U,1
0,1946-05,1,0,0,0,0,U,1
0,1946-06,1,0,0,0,0,U,1
0,1946-07,1,0,0,0,0,U,1
0,1946-08,1,0,0,0,0,U,1
0,1946-09,1,0,0,0,0,U,1
0,1946-10,1,0,0,0,0,U,1
0,1946-11,1,0,0,0,0,U,1
0,1946-12,1,0,0,0,0,U,1
0,1947-01,1,0,0,0,0,U,1
0,1947-02,1,0,0,0,0,U,1
0,1947-03,1,0,0,0,0,U,1
0,1947-04,1,0,0,0,0,U,1
0,1947-05,1,0,0,0,0,U,1
0,1947-06,1,0,0,0,0,U,1
0,1947-07,1,0,0,0,0,U,1
0,1947-08,1,0,0,0,0,U,1
0,1947-09,1,0,0,0,0,U,1
0,1947-10,1,0,0,0,0,U,1
0,1947-11,1,0,0,0,0,U,1
0,1947-12,1,0,0,0,0,U,1
0,1948-01,1,0,0,0,0,U,1
0,1948-02,1,0,0,0,0,U,1
0,1948-03,1,0,0,0,0,U,1
0,1948-04,1,0,0,0,0,U,1
0,1948-05,1,0,0,0,0,U,1
0,1948-06,1,0,0,0,0,U,1
0,1948-07,1,0,0,0,0,U,1
0,1948-08,1,0,0,0,0,U,1
0,1948-09,1,0,0,0,0,U,1
0,1948-10,1,0,0,0,0,U,1
0,1948-11,1,0,0,0,0,U,1
1,1948-12,1,0,0,0,0,U,1
1,1949-01,1,0,0,0,0,U,1
1,1949-02,1,0,0,0,0,U,1
1,1949-03,1,0,0,0,0,U,1
1,1949-04,1,0,0,0,0,U,1
1,1949-05,1,0,0,0,0,U,1
1,1949-06,1,0,0,0,0,U,1
1,1949-07,1,0,0,0,0,U,1
1,1949-08,1,0,0,0,0,U,1
1,1949-09,1,0,0,0,0,U,1
1,1949-10,1,0,0,0,0,U,1
0,1949-11,1,0,0,0,0,U,1
0,1949-12,1,0,0,0,0,U,1
0,1950-01,1,0,0,0,0,U,1
0,1950-02,1,0,0,0,0,U,1
0,1950-03,1,0,0,0,0,U,1
0,1950-04,1,0,0,0,0,U,1
0,1950-05,1,0,0,0,0,U,1
0,1950-06,1,0,0,0,0,U,1
0,1950-07,1,0,0,0,0,U,1
0,1950-08,1,0,0,0,0,U,1
0,1950-09,1,0,0,0,0,U,1
0,1950-10,1,0,0,0,0,U,1
0,1950-11,1,0,0,0,0,U,1
0,1950-12,1,0,0,0,0,U,1
0,1951-01,1,0,0,0,0,U,1
0,1951-02,1,0,0,0,0,U,1
0,1951-03,1,0,0,0,0,U,1
0,1951-04,1,0,0,0,0,U,1
0,1951-05,1,0,0,0,0,U,1
0,1951-06,1,0,0,0,0,U,1
0,1951-07,1,0,0,0,0,U,1
0,1951-08,1,0,0,0,0,U,1
0,1951-09,1,0,0,0,0,U,1
0,1951-10,1,0,0,0,0,U,1
0,1951-11,1,0,0,0,0,U,1
0,1951-12,1,0,0,0,0,U,1
0,1952-01,1,0,0,0,0,U,1
0,1952-02,1,0,0,0,0,U,1
0,1952-03,1,0,0,0,0,U,1
0,1952-04,1,0,0,0,0,U,1
0,1952-05,1,0,0,0,0,U,1
0,1952-06,1,0,0,0,0,U,1
0,1952-07,1,0,0,0,0,U,1
0,1952-08,1,0,0,0,0,U,1
0,1952-09,1,0,0,0,0,U,1
