"","X","date","t1m","t3m","t6m","t1y","t2y","t3y","t5y","t7y","t10y","t20y","t30y","ys","ym","yl","sls","sms","slm","curv","rec","B","D","F","H","U","U1","U2","U3","U4","u","h","f","d","b","ms"
"1",1,"1953-04",NA,NA,NA,2.36,NA,2.51,2.62,NA,2.83,"3.08",NA,2.36,2.565,2.955,0.595,0.205,0.39,-0.185,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"u"
"2",2,"1953-05",NA,NA,NA,2.48,NA,2.72,2.87,NA,3.05,"3.18",NA,2.48,2.795,3.115,0.635,0.315,0.32,-0.00500000000000078,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"u"
"3",3,"1953-06",NA,NA,NA,2.45,NA,2.74,2.94,NA,3.11,"3.21",NA,2.45,2.84,3.16,0.71,0.39,0.32,0.0699999999999994,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
"4",4,"1953-07",NA,NA,NA,2.38,NA,2.62,2.75,NA,2.93,"3.12",NA,2.38,2.685,3.025,0.645,0.305,0.34,-0.0350000000000001,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"u"
"5",5,"1953-08",NA,NA,NA,2.28,NA,2.58,2.8,NA,2.95,"3.1",NA,2.28,2.69,3.025,0.745000000000001,0.41,0.335,0.0750000000000002,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
"6",6,"1953-09",NA,NA,NA,2.2,NA,2.56,2.71,NA,2.87,"3.07",NA,2.2,2.635,2.97,0.77,0.435,0.335,0.0999999999999996,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
"7",7,"1953-10",NA,NA,NA,1.79,NA,2.23,2.43,NA,2.66,"2.95",NA,1.79,2.33,2.805,1.015,0.54,0.475,0.0649999999999995,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
"8",8,"1953-11",NA,NA,NA,1.67,NA,2.2,2.42,NA,2.68,"2.95",NA,1.67,2.31,2.815,1.145,0.64,0.505,0.135,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
"9",9,"1953-12",NA,NA,NA,1.66,NA,2.07,2.32,NA,2.59,"2.89",NA,1.66,2.195,2.74,1.08,0.535,0.545,-0.0100000000000007,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"u"
"10",10,"1954-01",NA,NA,NA,1.41,NA,1.89,2.17,NA,2.48,"2.8",NA,1.41,2.03,2.64,1.23,0.62,0.61,0.00999999999999979,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
"11",11,"1954-02",NA,NA,NA,1.14,NA,1.63,2.04,NA,2.47,"2.72",NA,1.14,1.835,2.595,1.455,0.695,0.76,-0.0650000000000004,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"u"
"12",12,"1954-03",NA,NA,NA,1.13,NA,1.59,1.93,NA,2.37,"2.61",NA,1.13,1.76,2.49,1.36,0.63,0.73,-0.1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"u"
"13",13,"1954-04",NA,NA,NA,0.96,NA,1.54,1.87,NA,2.29,"2.6",NA,0.96,1.705,2.445,1.485,0.745,0.74,0.00499999999999989,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
"14",14,"1954-05",NA,NA,NA,0.85,NA,1.56,1.92,NA,2.37,"2.66",NA,0.85,1.74,2.515,1.665,0.89,0.775,0.115,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
"15",15,"1954-06",NA,NA,NA,0.82,NA,1.53,1.92,NA,2.38,"2.64",NA,0.82,1.725,2.51,1.69,0.905,0.785,0.120000000000001,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
"16",16,"1954-07",NA,NA,NA,0.84,NA,1.47,1.85,NA,2.3,"2.57",NA,0.84,1.66,2.435,1.595,0.82,0.774999999999999,0.0450000000000008,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
"17",17,"1954-08",NA,NA,NA,0.88,NA,1.49,1.9,NA,2.36,"2.58",NA,0.88,1.695,2.47,1.59,0.815,0.775,0.04,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"u"
