"","date","t1m","t3m","t6m","t1y","t2y","t3y","t5y","t7y","t10y","t20y","t30y","ys","ym","yl","sls","sms","slm","curv","rec","ms","ns"
"1","1945-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.31,2.39,2.015,0.935,1.08,-0.145,0,"U","1"
"2","1945-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.22,2.28,1.905,0.845,1.06,-0.215,0,"U","1"
"3","1945-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.18,2.28,1.905,0.805,1.1,-0.295,1,"U","1"
"4","1945-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.14,2.22,1.845,0.765,1.08,-0.315,1,"U","1"
"5","1945-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.16,2.22,1.845,0.785,1.06,-0.275,1,"U","1"
"6","1945-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.16,2.13,1.755,0.785,0.97,-0.185,1,"U","1"
"7","1945-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.16,2.12,1.745,0.785,0.96,-0.175,1,"U","1"
"8","1945-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.17,2.15,1.775,0.795,0.98,-0.185,1,"U","1"
"9","1945-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.19,2.15,1.775,0.815,0.96,-0.145,1,"U","1"
"10","1945-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.17,2.08,1.705,0.795,0.91,-0.115,1,"U","1"
"11","1945-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.14,2.03,1.655,0.765,0.89,-0.125,0,"U","1"
"12","1945-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.15,2,1.625,0.775,0.85,-0.0750000000000002,0,"U","1"
"13","1946-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.1,1.91,1.535,0.725,0.81,-0.085,0,"U","1"
"14","1946-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.03,1.88,1.505,0.655,0.85,-0.195,0,"U","1"
"15","1946-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,0.99,1.91,1.535,0.615,0.92,-0.305,0,"U","1"
"16","1946-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.12,1.93,1.555,0.745,0.81,-0.0649999999999995,0,"U","1"
"17","1946-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.18,2.03,1.655,0.805,0.85,-0.0449999999999999,0,"U","1"
"18","1946-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.15,2.01,1.635,0.775,0.86,-0.085,0,"U","1"
"19","1946-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.13,2.01,1.635,0.755,0.88,-0.125,0,"U","1"
"20","1946-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.14,2.08,1.705,0.765,0.94,-0.175,0,"U","1"
"21","1946-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.22,2.15,1.775,0.845,0.93,-0.085,0,"U","1"
"22","1946-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.24,2.13,1.755,0.865,0.89,-0.0249999999999999,0,"U","1"
"23","1946-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,1.22,2.13,1.754,0.844,0.91,-0.0659999999999998,0,"U","1"
"24","1946-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.22,2.12,1.745,0.845,0.9,-0.0550000000000002,0,"U","1"
"25","1947-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,1.26,2.09,1.715,0.885,0.83,0.0550000000000002,0,"U","1"
"26","1947-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,1.26,2.12,1.744,0.884,0.86,0.024,0,"U","1"
"27","1947-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,1.24,2.12,1.744,0.864,0.88,-0.016,0,"U","1"
"28","1947-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,1.24,2.13,1.754,0.864,0.89,-0.0259999999999998,0,"U","1"
"29","1947-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,1.27,2.14,1.764,0.894,0.87,0.024,0,"U","1"
"30","1947-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,1.29,2.15,1.774,0.914,0.86,0.0540000000000003,0,"U","1"
"31","1947-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.637,1.33,2.14,1.503,0.693,0.81,-0.117,0,"U","1"
"32","1947-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744,1.31,2.1,1.356,0.566,0.79,-0.224,0,"U","1"
"33","1947-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791,1.28,2.11,1.319,0.489,0.83,-0.341,0,"U","1"
"34","1947-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841,1.35,2.15,1.309,0.509,0.8,-0.290999999999999,0,"U","1"
"35","1947-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,1.47,2.23,1.31,0.55,0.76,-0.21,0,"U","1"
"36","1947-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.948,1.54,2.33,1.382,0.592,0.79,-0.198,0,"U","1"
"37","1948-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,1.63,2.45,1.48,0.66,0.82,-0.16,0,"U","1"
"38","1948-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994,1.63,2.43,1.436,0.636,0.8,-0.164000000000001,0,"U","1"
"39","1948-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,1.6,2.41,1.413,0.603,0.81,-0.207,0,"U","1"
"40","1948-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,1.58,2.41,1.413,0.583,0.83,-0.247,0,"U","1"
"41","1948-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998,1.51,2.36,1.362,0.512,0.85,-0.338,0,"U","1"
"42","1948-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998,1.49,2.36,1.362,0.492,0.87,-0.378,0,"U","1"
"43","1948-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,1.56,2.38,1.383,0.563,0.82,-0.257,0,"U","1"
"44","1948-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.033,1.65,2.42,1.387,0.617,0.77,-0.153,0,"U","1"
"45","1948-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.087,1.69,2.43,1.343,0.603,0.74,-0.137,0,"U","1"
"46","1948-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.118,1.71,2.45,1.332,0.592,0.74,-0.148000000000001,0,"U","1"
"47","1948-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.139,1.69,2.43,1.291,0.551,0.74,-0.189,0,"U","1"
"48","1948-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.153,1.64,2.41,1.257,0.487,0.77,-0.283,1,"U","1"
"49","1949-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.159,1.59,2.38,1.221,0.431,0.79,-0.359,1,"U","1"
"50","1949-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.163,1.57,2.34,1.177,0.407,0.77,-0.363,1,"U","1"
"51","1949-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.162,1.54,2.33,1.168,0.378,0.79,-0.412,1,"U","1"
"52","1949-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.157,1.53,2.32,1.163,0.373,0.79,-0.417,1,"U","1"
"53","1949-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.153,1.49,2.32,1.167,0.337,0.83,-0.493,1,"U","1"
"54","1949-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.158,1.42,2.31,1.152,0.262,0.89,-0.628,1,"U","1"
"55","1949-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,1.26,2.21,1.23,0.28,0.95,-0.67,1,"U","1"
"56","1949-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.022,1.26,2.19,1.168,0.238,0.93,-0.692,1,"U","1"
"57","1949-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.061,1.34,2.19,1.129,0.279,0.85,-0.571,1,"U","1"
"58","1949-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.043,1.38,2.2,1.157,0.337,0.82,-0.483000000000001,1,"U","1"
"59","1949-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.061,1.37,2.19,1.129,0.309,0.82,-0.511,0,"U","1"
"60","1949-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.102,1.37,2.18,1.078,0.268,0.81,-0.542,0,"U","1"
"61","1950-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,1.39,2.21,1.12,0.3,0.82,-0.52,0,"U","1"
"62","1950-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.125,1.44,2.24,1.115,0.315,0.8,-0.485,0,"U","1"
"63","1950-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.138,1.45,2.26,1.122,0.312,0.81,-0.498,0,"U","1"
"64","1950-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.159,1.45,2.26,1.101,0.291,0.81,-0.519,0,"U","1"
"65","1950-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.166,1.45,2.24,1.074,0.284,0.79,-0.506,0,"U","1"
"66","1950-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.174,1.47,2.24,1.066,0.296,0.77,-0.474,0,"U","1"
"67","1950-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.172,1.45,2.27,1.098,0.278,0.82,-0.542,0,"U","1"
"68","1950-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.211,1.45,2.27,1.059,0.239,0.82,-0.581,0,"U","1"
"69","1950-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.315,1.55,2.29,0.975,0.235,0.74,-0.505,0,"U","1"
"70","1950-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.329,1.65,2.32,0.991,0.321,0.67,-0.349,0,"U","1"
"71","1950-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.364,1.62,2.3,0.936,0.256,0.68,-0.423999999999999,0,"U","1"
"72","1950-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.367,1.64,2.32,0.953,0.273,0.68,-0.407,0,"U","1"
"73","1951-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.387,1.66,2.32,0.933,0.273,0.66,-0.387,0,"U","1"
"74","1951-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.391,1.67,2.34,0.949,0.279,0.67,-0.391,0,"U","1"
"75","1951-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.422,1.86,2.44,1.018,0.438,0.58,-0.142,0,"U","1"
"76","1951-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,2.03,2.44,0.92,0.51,0.41,0.0999999999999996,0,"U","1"
"77","1951-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.578,2.04,2.48,0.902,0.462,0.44,0.0220000000000002,0,"U","1"
"78","1951-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.499,2,2.54,1.041,0.501,0.54,-0.0389999999999997,0,"U","1"
