date,t1m,t3m,t6m,t1y,t2y,t3y,t5y,t7y,t10y,t20y,t30y,ys,ym,yl,sls,sms,slm,curv,rec,ms,ns
1957-12,NA,NA,NA,3.18,NA,3.11,3.08,NA,3.21,3.38,NA,3.18,3.095,3.295,0.115,-0.085,0.2,-0.285,1,B,1
1968-11,NA,NA,NA,5.75,NA,5.57,5.66,NA,5.7,5.56,NA,5.75,5.615,5.63,-0.12,-0.135,0.015,-0.15,0,B,1
1973-04,NA,NA,NA,6.85,NA,6.78,6.67,6.67,6.67,6.86,NA,6.85,6.706666667,6.765,-0.085,-0.143333333,0.058333333,-0.201666667,0,B,1
1973-06,NA,NA,NA,7.31,NA,6.84,6.69,6.81,6.9,7.06,NA,7.31,6.78,6.98,-0.33,-0.53,0.2,-0.73,0,B,1
1973-09,NA,NA,NA,8.31,NA,7.25,7.05,7.08,7.09,7.25,NA,8.31,7.126666667,7.17,-1.14,-1.183333333,0.043333333,-1.226666667,0,B,1
1973-10,NA,NA,NA,7.4,NA,6.81,6.77,6.78,6.79,7.18,NA,7.4,6.786666667,6.985,-0.415,-0.613333333,0.198333333,-0.811666667,0,B,1
1973-11,NA,NA,NA,7.57,NA,7,6.92,6.89,6.73,7.3,NA,7.57,6.936666667,7.015,-0.555,-0.633333333,0.078333333,-0.711666667,0,B,1
1973-12,NA,NA,NA,7.27,NA,6.81,6.8,6.77,6.74,7.29,NA,7.27,6.793333333,7.015,-0.255,-0.476666667,0.221666667,-0.698333333,1,B,1
1974-01,NA,NA,NA,7.42,NA,6.96,6.95,6.88,6.99,7.47,NA,7.42,6.93,7.23,-0.19,-0.49,0.3,-0.79,1,B,1
1974-02,NA,NA,NA,6.88,NA,6.76,6.82,6.92,6.96,7.46,NA,6.88,6.833333333,7.21,0.33,-0.046666667,0.376666667,-0.423333333,1,B,1
1974-03,NA,NA,NA,7.76,NA,7.35,7.31,7.34,7.21,7.73,NA,7.76,7.333333333,7.47,-0.29,-0.426666667,0.136666667,-0.563333333,1,B,1
1974-10,NA,NA,NA,8.05,NA,8,7.97,7.92,7.9,8.37,NA,8.05,7.963333333,8.135,0.085,-0.086666667,0.171666667,-0.258333333,1,B,1
1974-11,NA,NA,NA,7.66,NA,7.61,7.68,7.68,7.68,7.98,NA,7.66,7.656666667,7.83,0.17,-0.003333333,0.173333333,-0.176666667,1,B,1
1989-07,NA,8.15,8.01,7.89,7.82,7.83,7.83,7.94,8.02,NA,8.08,8.016666667,7.855,8.05,0.033333333,-0.161666667,0.195,-0.356666667,0,B,1
1998-09,NA,4.74,4.81,4.71,4.67,4.62,4.62,4.76,4.81,5.38,5.2,4.753333333,4.6675,5.13,0.376666667,-0.085833333,0.4625,-0.548333333,0,B,1
1998-12,NA,4.5,4.57,4.52,4.51,4.48,4.45,4.65,4.65,5.36,5.06,4.53,4.5225,5.023333333,0.493333333,-0.0075,0.500833333,-0.508333333,0,B,1
2000-10,NA,6.29,6.32,6.01,5.91,5.85,5.78,5.84,5.74,6.04,5.8,6.206666667,5.845,5.86,-0.346666667,-0.361666667,0.015,-0.376666667,0,B,1
2000-11,NA,6.36,6.34,6.09,5.88,5.79,5.7,5.78,5.72,5.98,5.78,6.263333333,5.7875,5.826666667,-0.436666667,-0.475833333,0.039166667,-0.515,0,B,1
2000-12,NA,5.94,5.92,5.6,5.35,5.26,5.17,5.28,5.24,5.64,5.49,5.82,5.265,5.456666667,-0.363333333,-0.555,0.191666667,-0.746666667,0,B,1
2001-01,NA,5.29,5.15,4.81,4.76,4.77,4.86,5.13,5.16,5.65,5.54,5.083333333,4.88,5.45,0.366666667,-0.203333333,0.57,-0.773333333,0,B,1
2001-02,NA,5.01,4.89,4.68,4.66,4.71,4.89,5.1,5.1,5.62,5.45,4.86,4.84,5.39,0.53,-0.02,0.55,-0.57,0,B,1
2006-08,5.16,5.09,5.17,5.08,4.9,4.85,4.82,4.83,4.88,5.08,5,5.125,4.85,4.986666667,-0.138333333,-0.275,0.136666667,-0.411666667,0,B,1
2006-09,4.77,4.93,5.08,4.97,4.77,4.69,4.67,4.68,4.72,4.93,4.85,4.9375,4.7025,4.833333333,-0.104166667,-0.235,0.130833333,-0.365833333,0,B,1
2006-10,4.97,5.05,5.12,5.01,4.8,4.72,4.69,4.69,4.73,4.94,4.85,5.0375,4.725,4.84,-0.1975,-0.3125,0.115,-0.4275,0,B,1
2006-11,5.21,5.07,5.15,5.01,4.74,4.64,4.58,4.58,4.6,4.78,4.69,5.11,4.635,4.69,-0.42,-0.475,0.055,-0.53,0,B,1
2006-12,4.87,4.97,5.07,4.94,4.67,4.58,4.53,4.54,4.56,4.78,4.68,4.9625,4.58,4.673333333,-0.289166667,-0.3825,0.093333333,-0.475833333,0,B,1
2007-01,4.94,5.11,5.15,5.06,4.88,4.79,4.75,4.75,4.76,4.95,4.85,5.065,4.7925,4.853333333,-0.211666667,-0.2725,0.060833333,-0.333333333,0,B,1
2007-02,5.18,5.16,5.16,5.05,4.85,4.75,4.71,4.71,4.72,4.93,4.82,5.1375,4.755,4.823333333,-0.314166667,-0.3825,0.068333333,-0.450833333,0,B,1
