date,t1m,t3m,t6m,t1y,t2y,t3y,t5y,t7y,t10y,t20y,t30y,ys,ym,yl,sls,sms,slm,curv,rec,ms,ns
1957-08,NA,NA,NA,4.01,NA,4.02,4,NA,3.93,3.75,NA,4.01,4.01,3.84,-0.17,0,-0.17,0.17,0,D,2
1957-09,NA,NA,NA,4.07,NA,4.06,4.03,NA,3.92,3.73,NA,4.07,4.045,3.825,-0.245,-0.025,-0.22,0.195,1,D,2
1959-09,NA,NA,NA,5,NA,4.97,4.9,NA,4.68,4.29,NA,5,4.935,4.485,-0.515,-0.065,-0.45,0.385,0,D,2
1959-10,NA,NA,NA,4.8,NA,4.78,4.72,NA,4.53,4.19,NA,4.8,4.75,4.36,-0.44,-0.05,-0.39,0.34,0,D,2
1959-11,NA,NA,NA,4.81,NA,4.85,4.75,NA,4.53,4.2,NA,4.81,4.8,4.365,-0.445,-0.01,-0.435,0.425,0,D,2
1959-12,NA,NA,NA,5.14,NA,5.12,5.01,NA,4.69,4.33,NA,5.14,5.065,4.51,-0.63,-0.075,-0.555,0.48,0,D,2
1960-01,NA,NA,NA,5.03,NA,4.99,4.92,NA,4.72,4.42,NA,5.03,4.955,4.57,-0.46,-0.075,-0.385,0.31,0,D,2
1966-03,NA,NA,NA,4.97,NA,4.97,4.92,NA,4.87,4.72,NA,4.97,4.945,4.795,-0.175,-0.025,-0.15,0.125,0,D,2
1966-04,NA,NA,NA,4.9,NA,4.89,4.83,NA,4.75,4.65,NA,4.9,4.86,4.7,-0.2,-0.04,-0.16,0.12,0,D,2
1966-09,NA,NA,NA,5.82,NA,5.79,5.5,NA,5.18,4.94,NA,5.82,5.645,5.06,-0.76,-0.175,-0.585,0.41,0,D,2
1966-10,NA,NA,NA,5.58,NA,5.48,5.27,NA,5.01,4.83,NA,5.58,5.375,4.92,-0.66,-0.205,-0.455,0.25,0,D,2
1966-11,NA,NA,NA,5.54,NA,5.53,5.36,NA,5.16,4.87,NA,5.54,5.445,5.015,-0.525,-0.095,-0.43,0.335,0,D,2
1966-12,NA,NA,NA,5.2,NA,5.19,5,NA,4.84,4.76,NA,5.2,5.095,4.8,-0.4,-0.105,-0.295,0.19,0,D,2
1967-01,NA,NA,NA,4.75,NA,4.75,4.7,NA,4.58,4.51,NA,4.75,4.725,4.545,-0.205,-0.025,-0.18,0.155,0,D,2
1968-05,NA,NA,NA,6.14,NA,6.11,6.04,NA,5.87,5.55,NA,6.14,6.075,5.71,-0.43,-0.065,-0.365,0.3,0,D,2
