date,t1m,t3m,t6m,t1y,t2y,t3y,t5y,t7y,t10y,t20y,t30y,ys,ym,yl,sls,sms,slm,curv,rec,ms,ns
1957-01,NA,NA,NA,3.37,NA,3.46,3.47,NA,3.46,3.41,NA,3.37,3.465,3.435,0.065,0.095,-0.03,0.125,0,F,3
1957-02,NA,NA,NA,3.38,NA,3.42,3.39,NA,3.34,3.3,NA,3.38,3.405,3.32,-0.06,0.025,-0.085,0.11,0,F,3
1957-03,NA,NA,NA,3.42,NA,3.47,3.46,NA,3.41,3.32,NA,3.42,3.465,3.365,-0.055,0.045,-0.1,0.145,0,F,3
1957-04,NA,NA,NA,3.49,NA,3.53,3.53,NA,3.48,3.4,NA,3.49,3.53,3.44,-0.05,0.04,-0.09,0.13,0,F,3
1964-12,NA,NA,NA,4.02,NA,4.08,4.09,NA,4.18,4.18,NA,4.02,4.085,4.18,0.16,0.065,0.095,-0.03,0,F,3
1965-02,NA,NA,NA,4.03,NA,4.08,4.15,NA,4.21,4.21,NA,4.03,4.115,4.21,0.18,0.085,0.095,-0.01,0,F,3
1965-03,NA,NA,NA,4.06,NA,4.13,4.15,NA,4.21,4.2,NA,4.06,4.14,4.205,0.145,0.08,0.065,0.015,0,F,3
1965-04,NA,NA,NA,4.04,NA,4.12,4.15,NA,4.2,4.2,NA,4.04,4.135,4.2,0.16,0.095,0.065,0.03,0,F,3
1965-09,NA,NA,NA,4.2,NA,4.24,4.25,NA,4.29,4.3,NA,4.2,4.245,4.295,0.095,0.045,0.05,-0.005,0,F,3
1965-10,NA,NA,NA,4.3,NA,4.33,4.34,NA,4.35,4.32,NA,4.3,4.335,4.335,0.035,0.035,0,0.035,0,F,3
1965-11,NA,NA,NA,4.37,NA,4.45,4.46,NA,4.45,4.4,NA,4.37,4.455,4.425,0.055,0.085,-0.03,0.115,0,F,3
1967-12,NA,NA,NA,5.71,NA,5.71,5.75,NA,5.7,5.59,NA,5.71,5.73,5.645,-0.065,0.02,-0.085,0.105,0,F,3
1968-09,NA,NA,NA,5.45,NA,5.39,5.48,NA,5.46,5.28,NA,5.45,5.435,5.37,-0.08,-0.015,-0.065,0.05,0,F,3
1968-10,NA,NA,NA,5.57,NA,5.52,5.55,NA,5.58,5.44,NA,5.57,5.535,5.51,-0.06,-0.035,-0.025,-0.01,0,F,3
1973-03,NA,NA,NA,6.85,NA,6.86,6.8,6.76,6.71,6.91,NA,6.85,6.806666667,6.81,-0.04,-0.043333333,0.003333333,-0.046666667,0,F,3
1973-05,NA,NA,NA,6.89,NA,6.83,6.8,6.83,6.85,6.99,NA,6.89,6.82,6.92,0.03,-0.07,0.1,-0.17,0,F,3
1978-08,NA,NA,NA,8.31,8.37,8.33,8.33,8.38,8.41,8.45,8.47,8.31,8.3525,8.443333333,0.133333333,0.0425,0.090833333,-0.048333333,0,F,3
1989-06,NA,8.43,8.38,8.44,8.41,8.37,8.29,8.31,8.28,NA,8.27,8.416666667,8.345,8.275,-0.141666667,-0.071666667,-0.07,-0.001666667,0,F,3
1989-08,NA,8.17,8.17,8.18,8.14,8.13,8.09,8.11,8.11,NA,8.12,8.173333333,8.1175,8.115,-0.058333333,-0.055833333,-0.0025,-0.053333333,0,F,3
1989-10,NA,7.9,8.03,7.99,7.98,8.02,7.97,8.03,8.01,NA,8,7.973333333,8,8.005,0.031666667,0.026666667,0.005,0.021666667,0,F,3
1989-11,NA,7.94,7.89,7.77,7.8,7.8,7.81,7.86,7.87,NA,7.9,7.866666667,7.8175,7.885,0.018333333,-0.049166667,0.0675,-0.116666667,0,F,3
1989-12,NA,7.88,7.81,7.72,7.78,7.77,7.75,7.85,7.84,NA,7.9,7.803333333,7.7875,7.87,0.066666667,-0.015833333,0.0825,-0.098333333,0,F,3
2006-02,4.38,4.54,4.69,4.68,4.67,4.64,4.57,4.56,4.57,4.73,4.54,4.5725,4.61,4.613333333,0.040833333,0.0375,0.003333333,0.034166667,0,F,3
2006-03,4.55,4.63,4.79,4.77,4.73,4.74,4.72,4.71,4.72,4.91,4.73,4.685,4.725,4.786666667,0.101666667,0.04,0.061666667,-0.021666667,0,F,3
2006-06,4.71,4.92,5.17,5.16,5.12,5.09,5.07,5.08,5.11,5.29,5.15,4.99,5.09,5.183333333,0.193333333,0.1,0.093333333,0.006666667,0,F,3
2006-07,4.9,5.08,5.27,5.22,5.12,5.07,5.04,5.05,5.09,5.25,5.13,5.1175,5.07,5.156666667,0.039166667,-0.0475,0.086666667,-0.134166667,0,F,3
