date,t1m,t3m,t6m,t1y,t2y,t3y,t5y,t7y,t10y,t20y,t30y,ys,ym,yl,sls,sms,slm,curv,rec,ms,ns
1956-04,NA,NA,NA,2.92,NA,3.19,3.2,NA,3.18,3.14,NA,2.92,3.195,3.16,0.24,0.275,-0.035,0.31,0,H,4
1956-05,NA,NA,NA,2.94,NA,3.08,3.08,NA,3.07,3.06,NA,2.94,3.08,3.065,0.125,0.14,-0.015,0.155,0,H,4
1956-08,NA,NA,NA,3.1,NA,3.39,3.41,NA,3.33,3.22,NA,3.1,3.4,3.275,0.175,0.3,-0.125,0.425,0,H,4
1956-09,NA,NA,NA,3.35,NA,3.5,3.47,NA,3.38,3.28,NA,3.35,3.485,3.33,-0.02,0.135,-0.155,0.29,0,H,4
1956-10,NA,NA,NA,3.28,NA,3.4,3.4,NA,3.34,3.26,NA,3.28,3.4,3.3,0.02,0.12,-0.1,0.22,0,H,4
1956-11,NA,NA,NA,3.44,NA,3.57,3.56,NA,3.49,3.37,NA,3.44,3.565,3.43,-0.01,0.125,-0.135,0.26,0,H,4
1956-12,NA,NA,NA,3.68,NA,3.76,3.7,NA,3.59,3.45,NA,3.68,3.73,3.52,-0.16,0.05,-0.21,0.26,0,H,4
1957-05,NA,NA,NA,3.48,NA,3.61,3.64,NA,3.6,3.49,NA,3.48,3.625,3.545,0.065,0.145,-0.08,0.225,0,H,4
1957-06,NA,NA,NA,3.65,NA,3.8,3.83,NA,3.8,3.65,NA,3.65,3.815,3.725,0.075,0.165,-0.09,0.255,0,H,4
1957-07,NA,NA,NA,3.81,NA,3.96,4,NA,3.93,3.72,NA,3.81,3.98,3.825,0.015,0.17,-0.155,0.325,0,H,4
1957-10,NA,NA,NA,4.01,NA,4.09,4.08,NA,3.97,3.76,NA,4.01,4.085,3.865,-0.145,0.075,-0.22,0.295,1,H,4
1957-11,NA,NA,NA,3.57,NA,3.7,3.72,NA,3.72,3.61,NA,3.57,3.71,3.665,0.095,0.14,-0.045,0.185,1,H,4
1959-05,NA,NA,NA,3.96,NA,4.25,4.35,NA,4.31,4.13,NA,3.96,4.3,4.22,0.26,0.34,-0.08,0.42,0,H,4
1959-06,NA,NA,NA,4.07,NA,4.52,4.5,NA,4.34,4.14,NA,4.07,4.51,4.24,0.17,0.44,-0.27,0.71,0,H,4
1959-07,NA,NA,NA,4.39,NA,4.6,4.58,NA,4.4,4.16,NA,4.39,4.59,4.28,-0.11,0.2,-0.31,0.51,0,H,4
1959-08,NA,NA,NA,4.42,NA,4.6,4.57,NA,4.43,4.15,NA,4.42,4.585,4.29,-0.13,0.165,-0.295,0.46,0,H,4
